question,answer,tokens_present,document
What is the purpose of the Risk Management Policy?,"The purpose of the Risk Management Policy is to provide a framework for identifying, assessing, and managing risks that could impact the University's ability to achieve its objectives.","['framework', 'identifying', 'assessing', 'managing', 'risks', 'objectives']",Risk_Management_Policy
What are the key components of the Risk Management Framework?,"The Risk Management Framework includes Risk Identification and Assessment, Risk Monitoring and Reporting, Risk Appetite, and Management of Risk.","['Risk Identification', 'Risk Assessment', 'Risk Monitoring', 'Risk Reporting', 'Risk Appetite', 'Management of Risk']",Risk_Management_Policy
What is the role of the Audit & Risk Committee in Risk Management?,The Audit & Risk Committee is responsible for providing necessary assurance to the Governing Authority that the Risk Management process is effective and efficient.,['The Audit & Risk Committee is responsible for providing necessary assurance to the Governing Authority that the Risk Management process is effective and efficient.'],Risk_Management_Policy
Who is responsible for ensuring that the Policy is implemented and monitored?,"The Governing Authority has overall responsibility for the management of risk within the University, and the various individuals/committees responsible for the implementation and monitoring of this Policy are set out in detail in Section 4.4. Additionally, the Corporate Secretary of the University has overall responsibility for ensuring that processes and procedures are in place to enable implementation and monitoring of this Policy.","['responsible', 'implementation', 'monitoring', 'Policy', 'Governing Authority', 'Corporate Secretary', 'University']",Risk_Management_Policy
What is the definition of risk in the context of the University?,"Risk is defined as the University not benefiting from opportunities available, suffering damage or disadvantage, or not achieving its objectives due to an internal or external event.","['risk', 'University', 'not benefiting', 'suffering damage', 'disadvantage', 'not achieving', 'objectives', 'internal', 'external']",Risk_Management_Policy
What is the systematic use of available information to determine the likelihood of specific events occurring and the magnitude of their consequences/impact on the University?,The systematic use of available information to determine the likelihood of specific events occurring and the magnitude of their consequences/impact on the University is known as risk analysis.,['risk analysis'],Risk_Management_Policy
What is a risk register and what is its purpose?,"A risk register is a risk recording and monitoring tool for the management of identified risks of the University. Its purpose is to provide a hierarchical entity for the management of risks, with the University’s Fundamental Risk Register (FRR) being informed by the risks identified and assessed in local risk registers (LRR) put in place by Faculties and Administrative Units.","['risk register', 'risk recording', 'monitoring tool', 'identified risks', 'Fundamental Risk Register', 'local risk registers', 'Faculties', 'Administrative Units']",Risk_Management_Policy
What is the role of the Risk Management Officer (RMO) in the University?,"The RMO reports to the Internal Auditor and is part of the Corporate Secretary’s Office. The RMO ensures that the process and procedures are in place to enable employees adhere to the provisions of the Risk Management Policy. Additionally, the RMO monitors and reviews all Risk Registers to ensure compliance with the provisions of the Risk Management Framework within the parameters set down by the University’s Risk Appetite statement.","['RMO', 'Risk Management Policy', 'Risk Registers', 'Risk Management Framework', 'Risk Appetite statement']",Risk_Management_Policy
What are the principles of risk management that the University adopts?,"The University adopts the principles of risk management as set out in the ISO 3100 (2018) Standard, which includes creating and protecting value, being an integral part of all organizational processes, being part of decision-making, explicitly addressing uncertainty, being systematic, structured, and timely, being based on the best available information, being customized for the internal and external context, and taking human and cultural factors into account.","['creating', 'protecting', 'value', 'integral', 'part', 'decision-making', 'uncertainty', 'systematic', 'structured', 'timely', 'best', 'available', 'information', 'customized', 'internal', 'external', 'context', 'human', 'cultural']",Risk_Management_Policy
"Who is responsible for reporting to the Governing Authority, Executive Committee, and the Audit & Risk Committee?","The PRO (Risk Management Officer) is responsible for reporting to the Governing Authority, Executive Committee, and the Audit & Risk Committee as required.","['PRO', 'Risk Management Officer', 'Governing Authority', 'Executive Committee', 'Audit & Risk Committee']",Risk_Management_Policy
