question,answer,tokens_present,document
"What is the short title and date of operation of the Banking Act, No. 30 of 1988?","The short title of the Banking Act, No. 30 of 1988 is ""Banking Act, No. 30 of 1988"" and it came into operation on January 1, 1989.","['Banking Act', 'No. 30 of 1988', 'January 1', '1989']",Banking_Act.pdf
What are the requirements for a company to obtain a licence to carry on banking business in Sri Lanka?,"According to Section 3 of the Banking Act, No. 30 of 1988, a company must meet certain requirements, including being incorporated in Sri Lanka, having a minimum paid-up capital of Rs. 500 million, and satisfying the Monetary Board that it is fit and proper to carry on banking business.","['incorporated', 'Sri Lanka', 'Rs. 500 million', 'Monetary Board']",Banking_Act.pdf
Can a company incorporated outside Sri Lanka remit currency to Sri Lanka?,"Yes, according to Section 4 of the Banking Act, No. 30 of 1988, a company incorporated outside Sri Lanka can remit currency to Sri Lanka, subject to the approval of the Monetary Board.",['Yes'],Banking_Act.pdf
What is the limit on the amount of currency that a licensed commercial bank can remit to Sri Lanka?,"According to Section 6 of the Banking Act, No. 30 of 1988, the limit on the amount of currency that a licensed commercial bank can remit to Sri Lanka is determined by the Monetary Board.","['determined', 'Monetary', 'Board']",Banking_Act.pdf
What are the consequences of a licensed commercial bank failing to commence business within the time specified in its licence?,"According to Section 9 of the Banking Act, No. 30 of 1988, if a licensed commercial bank fails to commence business within the time specified in its licence, the Monetary Board may cancel the licence and the bank may be liable to pay a penalty.","['cancel', 'penalty']",Banking_Act.pdf
Can a licensed commercial bank carry on off-shore banking business?,"Yes, according to Section 23 of the Banking Act, No. 30 of 1988, a licensed commercial bank can carry on off-shore banking business, subject to the approval of the Monetary Board.",['Yes'],Banking_Act.pdf
What is the minimum amount of capital that a licensed commercial bank must maintain?,"According to Section 20 of the Banking Act, No. 30 of 1988, the minimum amount of capital that a licensed commercial bank must maintain is Rs. 500 million.",['Rs. 500 million'],Banking_Act.pdf
What is the purpose of the reserve fund that a licensed commercial bank must maintain?,"According to Section 21 of the Banking Act, No. 30 of 1988, the purpose of the reserve fund that a licensed commercial bank must maintain is to provide for bad and doubtful debts and other contingencies.","['bad', 'doubtful', 'debts', 'contingencies']",Banking_Act.pdf
Can a licensed commercial bank purchase or acquire immovable property?,"Yes, according to Section 48 of the Banking Act, No. 30 of 1988, a licensed commercial bank can purchase or acquire immovable property, subject to the approval of the Monetary Board.",['Yes'],Banking_Act.pdf
What happens to the banking business of a licensed bank that becomes insolvent?,"According to Section 49B of the Banking Act, No. 30 of 1988, if a licensed bank becomes insolvent, the Monetary Board may vest the banking business of the bank in a new bank or in the Monetary Board itself.","['insolvent', 'Monetary Board', 'banking business', 'vest', 'new bank']",Banking_Act.pdf
