question,answer,question_type,filename
"What is the minimum retention period for the following documents:

1. Files of rejected loan proposals?
2. Application forms for closed loans?
3. Bill realization letters received from collecting Bankers/Branches?
4. Acknowledgements?
5. V.P. Receipts files?
6. NOSTRO A/c. /Position Register?
7. Confirmations for Telegrams?
8. Purchase/Sale Note?
9. Reconciliation sheets?
10. GR/SBF/EP/PP/SOFTEX Form Register/System generated Hard Copy?
",The purpose of the Mid-year review is to assess the progress of the branch's operations and identify areas that require improvement.,simple,Policy_Document.pdf
What are the steps to be taken by Incumbents Incharge to make room for proper upkeep of current records?,"The steps to be taken by Incumbents Incharge to make room for proper upkeep of current records include disposing of old records that have lived their preservation period, sending details of surplus stationery items to controlling offices, and ensuring that records are duly catalogued and indexed.",simple,Policy_Document.pdf
What is the retention period for Account opening forms of Current and Savings Bank and other Accounts with copy of proof of identity and address and other documents?,Account opening forms of Current and Savings Bank and other Accounts with copy of proof of identity and address and other documents should be maintained permanently.,simple,Policy_Document.pdf
"What is the retention period for default account intimation for funds transfer, utility payment in respect of tele-internet banking registers/applications?",47 years,simple,Policy_Document.pdf
What is the minimum period for which written off loan accounts for which DICGC claims have already been settled and adjusted to the loan accounts should be maintained?,"Written off loan accounts for which DICGC claims have already been settled and adjusted to the loan accounts should be maintained for a period of not less than 5 years from the date of closure of account, of the current calendar year.",simple,Policy_Document.pdf
What is the minimum retention period for written off loan accounts for which claims have been lodged with DICGC but are pending for settlement?,The minimum retention period for written off loan accounts for which claims have been lodged with DICGC but are pending for settlement is 5 years from the date of settlement of the claim.,simple,Policy_Document.pdf
"What should be done in case of destruction of records due to fire, inundation, flood, earthquake, or any other Act of God?","A list has to be made in respect of the items that are missing and an endorsement has to be made on the register stating that the record Item No. are destroyed by fire, inundation, earthquake, etc.",simple,Policy_Document.pdf
What is the deadline for branches to confirm the disposal of old records and segregation of surplus stationery items?,The deadline for branches to confirm the disposal of old records and segregation of surplus stationery items is 15th February every year.,simple,Policy_Document.pdf
What are the vouchers that are sorted into cash payment and other vouchers?,"The vouchers that are sorted into cash payment and other vouchers are cash payment vouchers, clearing vouchers, transfer vouchers, and payment vouchers.",simple,Policy_Document.pdf
How long should written off loan accounts for which claims have been lodged with DICGC but are pending for settlement be maintained?,Written off loan accounts for which claims have been lodged with DICGC but are pending for settlement should be maintained for a period of 5 years from the date of settlement of the claim.,simple,Policy_Document.pdf
What is the retention period for claim application on account of deceased non-resident (ordinary)/non-resident (external)/FCNR (B) account holders?,58 years,simple,Policy_Document.pdf
How long should written off loan accounts for which DICGC claims have already been settled and adjusted to the loan accounts be maintained?,Written off loan accounts for which DICGC claims have already been settled and adjusted to the loan accounts should be maintained for a period of 5 years from the date of closure.,simple,Policy_Document.pdf
"How are vouchers, other than cash payment vouchers, sorted and sealed?","Vouchers, other than cash payment vouchers, are sorted, tallied, stitched and sealed. They are numbered serially and the date and the total number of vouchers in each bundle are recorded on its cover, as well as in the voucher register.",simple,Policy_Document.pdf
What is the preservation period for items of records that are not included in the list of records to be preserved?,The preservation period for items of records that are not included in the list of records to be preserved is 10 years.,simple,Policy_Document.pdf
How long should non-DICGC loans (General Category) that have been fully written off be maintained?,Non-DICGC loans (General Category) that have been fully written off should be maintained for a period of not less than 5 years from the date of closure of the account.,simple,Policy_Document.pdf
What is the retention period for records relating to transactions which are in dispute?,Records relating to transactions which are in dispute should be maintained permanently.,simple,Policy_Document.pdf
Who checks the contents of each bundle of cash payment vouchers with the cash book?,"The incumbent in-charge or officer checks the contents of each bundle of cash payment vouchers with the cash book, authenticates the correctness of the date and the number of vouchers given on its cover, and signs in the voucher register for its receipt.",simple,Policy_Document.pdf
"What are the transactions that branches shall maintain records for, as per KYC/AML measures?","Branches shall maintain records of all transactions, whether single or integrally connected, that take place within a month, towards compliance of KYC/AML measures.",simple,Policy_Document.pdf
What is the retention period for memorandum of letters of lockers and specimen signature cards?,32 years,simple,Policy_Document.pdf
What is the retention period for records pertaining to unpaid export bills along with correspondence and GR Form?,59 years,simple,Policy_Document.pdf
Who is responsible for the custody of cash payment and other vouchers?,The officials responsible for the custody of cash payment and other vouchers are the incumbents/in-charges.,simple,Policy_Document.pdf
What is the retention period for ATM card/debit card issue registers/applications?,46 years,simple,Policy_Document.pdf
How long should items of records that were not included in the list of records to be preserved be maintained?,Items of records that were not included in the list of records to be preserved should continue to be maintained for a period of 10 years.,simple,Policy_Document.pdf
How long should non-DICGC loans (General Category) that have been fully written off be maintained?,Non-DICGC loans (General Category) that have been fully written off should be maintained for a period of 5 years from the date of closure.,simple,Policy_Document.pdf
What is the retention period for booklet supplied by RBI to identify the names of the parties blacklisted and necessary amendments?,57 years,simple,Policy_Document.pdf
What is the role of the Zonal Offices and Head Offices in the records management process?,"The Zonal Offices and Head Offices are responsible for ensuring that the records are properly maintained, catalogued, and indexed, and for rendering assistance to government offices or any agency designated by the bank that seeks information.",simple,Policy_Document.pdf
Who is responsible for preparing the procedural aspects regarding maintaining records in electronic form?,The HO IT Department is responsible for preparing the procedural aspects regarding maintaining records in electronic form.,simple,Policy_Document.pdf
What is the significance of exception reports of limit breaches in the banking industry?,"Exception reports of limit breaches in the banking industry are significant as they provide information on breaches of limits, allowing for corrective action to be taken to prevent further breaches.",simple,Policy_Document.pdf
What are the difficulties faced due to non-disposal of old records?,"The difficulties faced due to non-disposal of old records include occupation of space meant for destruction, improper segregation of records, wastage of time and money in preserving old records, and non-utilization of space for other productive purposes.",simple,Policy_Document.pdf
"What is the dual purpose served by producing a cheque or voucher in court, concerning its custody and preservation?","When a cheque or voucher is summoned to be produced in court, a true copy/photo copy thereof, duly attested by the incumbent in-charge, will be substituted for it in the relative bundle, and a remark to the effect that the original has been produced in court, being given on the copy.",conditional,Policy_Document.pdf
How are vouchers taken out of custody for checking?,"Vouchers are taken out of custody on the requisition of a checking official, who will acknowledge their receipt in the registers kept for this purpose.",conditional,Policy_Document.pdf
"What are the guidelines for handling and retaining records in a bank, considering the urgent need for records in legal cases, complaints, and information requests under the RTI Act?","The general guidelines for handling and retaining records in a bank include serially entering all books and registers in a register of current-cum-old records, with separate openings for each section. The serial number and section number must be indicated on the cover of each book or file for easy identification. Employees handling records must be responsible for their custody during the day time, while overnight, all current records must remain under lock and key in the custody of the respective section in-charge.",conditional,Policy_Document.pdf
"What are the specific guidelines for maintaining and preserving important records in a strong room, and how should they be handled and stored to ensure their longevity and security?","The records pertaining to articles in safe custody, or G.P. Notes, Shares, etc. must be retained as permanent records in the strong room.",conditional,Policy_Document.pdf
"What records must incumbents/in-charges preserve for reconciliation purposes, and how should they be maintained and destroyed?",The records that incumbents/in-charges are advised not to destroy are those needed for reconciliation of inter-branch transaction entries for the period up to which Reconciliation Department has not completed reconciliation work.,conditional,Policy_Document.pdf
"What is the purpose of allocating space for a record section in branches, and how does it relate to document handling and retention policies?","The purpose of earmarking space for a Record Section in branches is to have a dedicated area for storing and handling records, which helps in maintaining their confidentiality and easy accessibility.",conditional,Policy_Document.pdf
