context,question,choices,answer,filename
"MANAGING PUBLIC  SECTOR RECORDS    A Training Programme    Managing  Financial Records            INTERNATIONAL  COUNCIL ON ARCHIVES     INTERNATIONAL RECORDS   MANAGEMENT TRUST      MANAGING PUBLIC SECTOR RECORDS : A STUDY PROGRAMME     MANAGING FINANCIAL RECORDS  MANAGING PUBLIC SECTOR RECORDS   A STUDY PROGRAMME   General Editor, Michael Roper; Managing Editor, Laura Millar      MANAGING FINANCIAL  RECORDS                    INTERNATIONAL RECORDS  I NTERNATIONAL   MANAGEMENT TRUST  C OUNCIL ON ARCHIVES  MANAGING PUBLIC SECTOR RECORDS : A STUDY PROGRAMME   Managing Financial Records    © International Records Management Trust, 1999.  Reproduction in whole or in part, without the express written permission of the International Records Management Trust, is strictly prohibited.   Produced by the International Records Management Trust  12 John Street  London WC1N 2EB UK  Printed in the United Kingdom.  Inquiries concerning reproduction or rights and requests for  additional training materials should be addressed to  International Records Management Trust   12 John Street  London WC1N 2EB UK Tel: +44 (0) 20 7831 4101 Fax: +44 (0) 20 7831 7404 E-mail: info@irmt.org Website: http://www.irmt.org           Version 1/1999 MPSR Project Personnel  Project Director  Anne Thurston has been working to define international solutions for the management  of public sector records for nearly three decades.  Between 1970 and 1980 she lived in Kenya, initially conducting research and then as an employee of the Kenya National Archives.  She joined the staff of the School of Library, Archive and Information Studies at University College London in 1980, where she developed the MA course in Records and Archives Management (International) and a post-graduate research programme.  Between 1984 and 1988 she undertook an onsite survey of record-keeping systems in the Commonwealth.  This study led to the foundation of the International Records Management Trust to support the development of records management through technical and capacity-building projects and through research and education projects.  General Editor  Michael Roper has had a wide range of experience in the management of records and  archives.  He served for thirty-three years in the Public Record Office of the United Kingdom, from which he retired as Keeper of Public Records in 1992.  He has also taught on the archives courses at University College London and the University of British Columbia, Canada.  From 1988 to 1992 he was Secretary General of the International Council on Archives and since 1996 he has been Honorary Secretary of the Association of Commonwealth Archivists and Records Managers (ACARM).  He has undertaken consultancy missions and participated in the delivery of training programmes in many countries and has written extensively on all aspects of records and archives management.  Managing Editor  Laura Millar has worked extensively not only as a records and archives management  consultant but also in publishing and distance education, as an editor, production manager and instructional designer.  She received her MAS degree in archival studies from the University of British Columbia, Canada, in 1984 and her PhD in archival studies from the University of London in 1996.  She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989)",What was the title of the study led by Anne Thurston that surveyed record-keeping systems in the Commonwealth?,"['""A Study on Record-Keeping Systems in the Commonwealth""', '""Commonwealth Record-Keeping Systems: A Survey""', '""Record-Keeping in the Commonwealth: A Comprehensive Study""', '""The Commonwealth Records Management Project""']",1,Financial_Records_Management.pdf
"MANAGING PUBLIC  SECTOR RECORDS    A Training Programme    Managing  Financial Records            INTERNATIONAL  COUNCIL ON ARCHIVES     INTERNATIONAL RECORDS   MANAGEMENT TRUST      MANAGING PUBLIC SECTOR RECORDS : A STUDY PROGRAMME     MANAGING FINANCIAL RECORDS  MANAGING PUBLIC SECTOR RECORDS   A STUDY PROGRAMME   General Editor, Michael Roper; Managing Editor, Laura Millar      MANAGING FINANCIAL  RECORDS                    INTERNATIONAL RECORDS  I NTERNATIONAL   MANAGEMENT TRUST  C OUNCIL ON ARCHIVES  MANAGING PUBLIC SECTOR RECORDS : A STUDY PROGRAMME   Managing Financial Records    © International Records Management Trust, 1999.  Reproduction in whole or in part, without the express written permission of the International Records Management Trust, is strictly prohibited.   Produced by the International Records Management Trust  12 John Street  London WC1N 2EB UK  Printed in the United Kingdom.  Inquiries concerning reproduction or rights and requests for  additional training materials should be addressed to  International Records Management Trust   12 John Street  London WC1N 2EB UK Tel: +44 (0) 20 7831 4101 Fax: +44 (0) 20 7831 7404 E-mail: info@irmt.org Website: http://www.irmt.org           Version 1/1999 MPSR Project Personnel  Project Director  Anne Thurston has been working to define international solutions for the management  of public sector records for nearly three decades.  Between 1970 and 1980 she lived in Kenya, initially conducting research and then as an employee of the Kenya National Archives.  She joined the staff of the School of Library, Archive and Information Studies at University College London in 1980, where she developed the MA course in Records and Archives Management (International) and a post-graduate research programme.  Between 1984 and 1988 she undertook an onsite survey of record-keeping systems in the Commonwealth.  This study led to the foundation of the International Records Management Trust to support the development of records management through technical and capacity-building projects and through research and education projects.  General Editor  Michael Roper has had a wide range of experience in the management of records and  archives.  He served for thirty-three years in the Public Record Office of the United Kingdom, from which he retired as Keeper of Public Records in 1992.  He has also taught on the archives courses at University College London and the University of British Columbia, Canada.  From 1988 to 1992 he was Secretary General of the International Council on Archives and since 1996 he has been Honorary Secretary of the Association of Commonwealth Archivists and Records Managers (ACARM).  He has undertaken consultancy missions and participated in the delivery of training programmes in many countries and has written extensively on all aspects of records and archives management.  Managing Editor  Laura Millar has worked extensively not only as a records and archives management  consultant but also in publishing and distance education, as an editor, production manager and instructional designer.  She received her MAS degree in archival studies from the University of British Columbia, Canada, in 1984 and her PhD in archival studies from the University of London in 1996.  She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989)",What is the name of the course developed by Michael Roper that focuses on records and archives management?,"['Records and Archives Management (International)', 'Archival Studies', 'A Manual for Small Archives', 'Handbook for Records Management and College Archives in British Columbia']",0,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989","Who is the author of the book ""A Manual for Small Archives""?","['Piers Cain', 'Don Brech', 'Hella Jean Bartolo', 'Elizabeth Shepherd']",1,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989","What is the name of the organization that Piers Cain is the Director of Research, Development and Education for?","['International Records Management Trust', 'Association of Records Managers and Administrators (ARMA International)', 'Reuters Ltd', 'International Monetary Fund']",0,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989",What is the name of the consultancy company that Don Brech established in 1994?,"['Records Management International Limited', 'International Records Management Trust', 'Reuters Ltd', 'European Bank for Reconstruction and Development']",0,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989",Who is the Principal Consultant of Records Management International Limited?,"['Piers Cain', 'Don Brech', 'Harry Akussah', 'Nathan Mnjama']",1,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989",What is the name of the book that Don Brech co-authored with Piers Cain?,"['""A Manual for Small Archives""', '""Archival Gold: Managing and Preserving Publishers’ Records""', '""A Handbook for Records Management and College Archives in British Columbia""', '""Managing Financial Records""']",1,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989",Who is the Director of the International Records Management Trust?,"['Piers Cain', 'Don Brech', 'Harry Akussah', 'Nathan Mnjama']",0,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989",What is the name of the university where Don Brech held a foundation appointment?,"['University of Cambridge', 'Riverina College of Advanced Education', 'University of Hong Kong', 'Northern Territory Archives Service']",1,Financial_Records_Management.pdf
"She has developed and taught archival education courses both in Canada and internationally, including at the University of British Columbia, Simon Fraser University and the University of Alberta.  She is the author of a number of books and articles on various aspects of archival management, including A Manual for Small Archives  (1988), Archival Gold:  Managing and Preserving Publishers’ Records (1989)  and A Handbook for Records  Management and College Archives in British Columbia (1989). Project Steering Group  Additional members of the Project Steering Group include  Association of Records Managers and   Administrators (ARMA International):  Hella Jean Bartolo  International Council on Archives:   George MacKenzie Project Management Consultant:   Tony Williams University College London:    Elizabeth Shepherd Video Production Co-ordinator:   Janet Rogers  Educational Advisers  Moi University:     Justus Wamukoya Universiti Teknologi Mara:    Rusnah Johare University of Botswana:    Nathan Mnjama University of Ghana:     Harry Akussah, Pino Akotia University of New South Wales:   Ann Pederson University of West Indies:    Victoria Lemieux  Project Managers  Lynn Coleman (1994-6) Laura Millar (1996-7) Elizabeth Box (1997-8) Dawn Routledge (1999)  Production Team  Additional members of the production team include  Jane Cowan  Nicki Hall Greg Holoboff Barbara Lange Jennifer Leijten Leanne Nash Donors  The International Records Management Trust would like to acknowledge the support  and assistance of the following:  Association of Records Managers and Administrators (ARMA International)  British Council British High Commission Ghana British High Commission Kenya Caribbean Centre for Development Administration (CARICAD) Canadian International Development Agency (CIDA) Commonwealth Secretariat Department for International Development (East Africa) Department for International Development (UK) DHL International (UK) Limited Foreign and Commonwealth Office Human Rights Fund Hays Information Management International Council on Archives Nuffield Foundation Organisation of American States Royal Bank of Scotland United Nations Development Program Managing Financial Records  Principal Authors  PIERS CAIN AND DON BRECH   Piers Cain is the Director of Research, Development and Education of the  International Records Management Trust.  He is responsible for developing and implementing the Trust’s research strategy, directing research projects and overseeing the Trust’s education projects.  His research interests include the impact of the ‘information revolution’ on in both industrialised and developing countries.  In addition Mr Cain has extensive experience in a wide range of organisations, including Reuters Ltd, International Monetary Fund, European Bank for Reconstruction and Development and the Corporation of London.   Don Brech is principal consultant of Records Management International Limited in  Hong Kong.  He has over 30 years experience in records management and has held senior professional positions in government organisations and cultural institutions in Australia, the United Kingdom and Hong Kong.  In 1994 he established his own consultancy company.  As a consultant he has worked with clients in Africa, Asia and Europe on the development of records strategies, the design and implementation of records systems and records training programs.  Born and educated in England, he graduated from Cambridge University and emigrated to Australia in 1965.  In 1966 he was appointed assistant archivist at the Commonwealth Archives Office (now National Archives of Australia).  He held foundation appointments at the Royal Air Force Museum, Hendon, the Riverina College of Advanced Education, Wagga Wagga, and the Northern Territory Archives Service, Darwin.  He was appointed first Government Records Service Director in the Hong Kong Government in 1989","What is the name of the organization that Don Brech worked with on the development of records strategies, the design and implementation of records systems and records training programs?","['International Records Management Trust', 'Records Management International Limited', 'Association of Records Managers and Administrators (ARMA International)', 'International Council on Archives']",1,Financial_Records_Management.pdf
