question,answer,question_type,filename
How are dividend income and realized and unrealized gains and losses from FVPL investments recognized in the IMF's financial statements?,"Dividend income is recognized based on the ex-dividend date, and realized and unrealized gains and losses from FVPL investments are recognized in investment income using the effective interest method.",simple,IMF_Financial_Statements.pdf
"What is the measurement basis for financial assets held for collection of contractual cash flows and for selling, where the assets’ cash flows represent solely payments of principal and interest?","Financial assets that are held for collection of contractual cash flows and for selling, where the assets’ cash flows represent solely payments of principal and interest, would be measured at fair value through other comprehensive income (FVOCI).",simple,IMF_Financial_Statements.pdf
What procedures do auditors perform to identify and assess the risks of material misstatement of the financial statements?,"Auditors identify and assess the risks of material misstatement of the financial statements by exercising professional judgment and maintaining professional skepticism throughout the audit, and designing and performing audit procedures responsive to those risks.",simple,IMF_Financial_Statements.pdf
What is the purpose of evaluating expected credit losses (ECL) associated with financial assets at AC and with undrawn balances under lending commitments?,"The purpose of evaluating ECL is to assess the expected credit losses associated with financial assets at AC and with undrawn balances under lending commitments, and to record impairment allowances for assets at AC and liability provisions for undrawn commitments as needed.",simple,IMF_Financial_Statements.pdf
What are misstatements considered material if they have a substantial likelihood of influencing the judgment made by a reasonable user based on the financial statements?,"Misstatements are considered material if there is a substantial likelihood that, individually or in the aggregate, they would influence the judgment made by a reasonable user based on the financial statements.",simple,IMF_Financial_Statements.pdf
What is the measurement basis for financial assets held for collection of contractual cash flows where those cash flows represent solely payments of principal and interest?,Financial assets that are held for collection of contractual cash flows where those cash flows represent solely payments of principal and interest are measured at amortized cost (AC).,simple,IMF_Financial_Statements.pdf
"How are property, plant, and equipment, and intangible assets measured and depreciated or amortized in the IMF's financial statements?","Property, plant, and equipment, and intangible assets are measured at historical cost less accumulated depreciation or amortization. They are capitalized and depreciated or amortized over the estimated remaining useful lives using the straight-line method.",simple,IMF_Financial_Statements.pdf
What is the basis for assessing credit risk for the General Department's exposure to a member country?,"The credit risk for the General Department's exposure to a member country is assessed holistically based on qualitative and quantitative considerations pertaining to each debtor member, such as the status of the economic programs underlying IMF financing, the member's cooperation on policy implementation and timely settlement of IMF financial obligations, and forward-looking assessment of the member's capacity to repay.",simple,IMF_Financial_Statements.pdf
"What changes were made to the SDR basket valuation basket as a result of the quinquennial review concluded on May 11, 2022?","The Executive Board agreed to maintain the current composition of the SDR currency and interest rate baskets and approved their updated weights, which imply slightly higher weights for the US dollar and the Chinese renminbi and somewhat lower weights for the British pound, the euro, and the Japanese yen.",simple,IMF_Financial_Statements.pdf
Is a service charge levied by the GRA on all purchases from the GRA?,"Yes, a service charge is levied by the GRA on all purchases from the GRA except reserve tranche purchases.",simple,IMF_Financial_Statements.pdf
What is the basis for the valuation of investments held at amortized cost in the financial statements of the General Department?,The valuation of investments held at amortized cost in the financial statements of the General Department is not impacted by the global developments.,simple,IMF_Financial_Statements.pdf
"What is the average SDR interest rate for the financial years ended April 30, 2022, and 2021?","The average SDR interest rate was 0.107 percent per annum for the financial year ended April 30, 2022, and 0.077 percent per annum for the financial year ended April 30, 2021.",simple,IMF_Financial_Statements.pdf
What is the basis for the General Department's assumption that credit risk related to a member country is low?,"The General Department assumes that credit risk related to a member country is low if the member has a low risk of default, a strong capacity to meet its contractual cash flow obligations in the near term, and adverse changes in economic and business conditions in the longer term may, but will not necessarily, reduce the ability of the member country to fulfill its contractual cash flow obligations.",simple,IMF_Financial_Statements.pdf
What is the title of the report that contains the audited financial statements of the General Department of the IMF?,"The title of the report that contains the audited financial statements of the General Department of the IMF is ""Financial Statements of the General Department.""",simple,IMF_Financial_Statements.pdf
What is the purpose of the Special Disbursement Account (SDA)?,"The SDA is used to receive profits from the sale of gold held by the IMF at the time of the Second Amendment of the IMF’s Articles of Agreement (April 1978). SDA resources can be used for various purposes, including transfers to the GRA for immediate use in operations and transactions, transfers to the IA, or operations and transactions that are not authorized by other provisions of the IMF’s Articles of Agreement but are consistent with the mandate of the IMF, in particular to provide balance of payments assistance on special terms to low-income member countries.",simple,IMF_Financial_Statements.pdf
"What was the reason for the extension of the current SDR valuation basket beyond its original expiration date of September 30, 2021?","The Executive Board decided to extend the current SDR valuation basket to July 31, 2022, to allow for the completion of the quinquennial review of the method of valuation of the SDR.",simple,IMF_Financial_Statements.pdf
What is the purpose of the Special Contingent Account (SCA-1) in the IMF's financial structure?,The Special Contingent Account (SCA-1) is used to protect the IMF in case of the ultimate failure of a member to repay its overdue obligations to the General Department.,simple,IMF_Financial_Statements.pdf
