question,answer,question_type,filename
What are the claims on the assets of the Company that will or may rank ahead of an investor's claim if the Company is put into liquidation or wound up?,The claims on the assets of the Company that will or may rank ahead of an investor's claim if the Company is put into liquidation or wound up are described in Section 4 of the PDS (Key features of the Debenture Stock).,simple,Product Disclosure Statement.pdf
"Who is the non-executive director of the Company who is a Qualified UK Chartered Accountant with more than 20 years' experience in small and medium-sized businesses, both as an investor and a manager?",Richard Lott,simple,Product Disclosure Statement.pdf
"Who is the non-executive director of the Company who holds a Bachelor of Commerce and Law degrees from the University of Canterbury, New Zealand, and a Graduate Diploma in Wine Business from the University of Adelaide, Australia?",Kirstin Poole,simple,Product Disclosure Statement.pdf
What is the risk associated with the Company's ability to realize proceeds from the sale of mortgaged property in the event of borrower default?,"In the event that the Company is required to enforce its security through the registration of a mortgage and/or the exercise of the power of sale under that mortgage, the Company's ability to realize the proceeds of the sale of the mortgaged property would be subject to the claims of any prior ranking security interest registered over the mortgaged property in question.",simple,Product Disclosure Statement.pdf
What are the claims on the assets of the Company that will or may rank ahead of the claim if the Company is put into liquidation or wound up?,"The claims on the assets of the Company that will or may rank ahead of the claim include the fees and expenses incurred by any liquidator, certain claims by the Company's employees for unpaid remuneration, PAYE tax deductions, and any GST; claims by holders of prior security interests; and the Supervisor’s, or any receiver appointed by the Supervisor, remuneration, costs, charges, expenses, and liabilities.",simple,Product Disclosure Statement.pdf
What percentage of the Company's loans are secured by way of an agreement to mortgage over real estate owned by the borrower?,"As at 30 September 2022, approximately 20% of the Company's loans were secured by way of an agreement to mortgage over real estate owned by the borrower.",simple,Product Disclosure Statement.pdf
Can an investor require the Company to repay the Investment prior to the expiry of the fixed term of the Investment?,"No, an investor cannot require the Company to repay the Investment prior to the expiry of the fixed term of the Investment. However, the Company reserves the ability, at its absolute discretion, to permit the early repayment of Debenture Stock before the Maturity Date in the event of death or financial hardship.",simple,Product Disclosure Statement.pdf
What is the non-resident withholding tax (NRWT) rate for investors who are not tax residents of New Zealand?,The NRWT rate is currently 10% or 15% depending upon the investor's country of residence and whether the investor is eligible for relief under a relevant tax treaty.,simple,Product Disclosure Statement.pdf
Can the Company repay the Investment prior to the expiry of the fixed term of the Investment?,"Yes, the Company reserves the right, at its absolute discretion to repay the Investment prior to the expiry of the fixed term of the Investment.",simple,Product Disclosure Statement.pdf
Can the Company adjust the interest rate applicable to the Investment if it is repaid prior to the Maturity Date?,"Yes, the Company reserves the right at its discretion to adjust the interest rate applicable to the Investment to the current rate offered by the Company for the nearest term upon which those funds have been held by the Company.",simple,Product Disclosure Statement.pdf
Who is the non-executive director of the Company who holds a National Diploma in Accountancy and is a Registered Financial Adviser?,Stephen Massey,simple,Product Disclosure Statement.pdf
What is the regulatory requirement that the Company is subject to due to Lending Crowd Limited operating a licensed peer-to-peer service?,The Company is subject to a higher level of compliance and regulatory requirements compared to other non-bank deposit takers due to Lending Crowd Limited operating a licensed peer-to-peer service.,simple,Product Disclosure Statement.pdf
Can the Company repay the Investment prior to the expiry of the fixed term?,"Yes, the Company reserves the right, at its absolute discretion, to repay the Investment prior to the expiry of the fixed term of the Investment.",simple,Product Disclosure Statement.pdf
What percentage of the Company's loans are secured by agreements to mortgage over real estate owned by the borrower?,Approximately 20% of the Company's loans are secured by agreements to mortgage over real estate owned by the borrower.,simple,Product Disclosure Statement.pdf
What is the company's requirement for deducting resident withholding tax (RWT)?,"The company is generally required to deduct RWT from interest paid to, or applied for, the benefit of New Zealand resident investors and investors who hold secured deposits through a fixed establishment in New Zealand in which the investors are engaged in business in New Zealand.",simple,Product Disclosure Statement.pdf
