question,answer,tokens_present,document
What is the purpose of the Product Disclosure Statement?,The purpose of the Product Disclosure Statement is to provide important information about the investment in Finance Direct Limited's first ranking secured Debenture Stock to help potential investors decide whether they want to invest.,"['The purpose of the Product Disclosure Statement is to', 'invest', ""Finance Direct Limited's"", 'first ranking secured Debenture Stock', 'potential investors', 'decide', 'whether', 'they', 'want', 'to invest']",Product Disclosure Statement.pdf
What is the issue date of the Debenture Stock?,The issue date of the Debenture Stock is 22 September 2016.,['22 September 2016'],Product Disclosure Statement.pdf
What is the term of the Debenture Stock?,The term of the Debenture Stock ranges between three months and five years.,"['three', 'five', 'years']",Product Disclosure Statement.pdf
How are interest payments made on the Debenture Stock?,Interest payments on the Debenture Stock are fixed and vary depending on the fixed term selected. The current fixed interest rates can be found at www.financedirect.co.nz or are available upon request from the Company.,"['fixed', 'interest', 'rates', 'www.financedirect.co.nz', 'Company']",Product Disclosure Statement.pdf
Can the Company repay the Investment prior to the expiry of the fixed term?,"Yes, the Company reserves the right, at its absolute discretion, to repay the Investment prior to the expiry of the fixed term of the Investment.",['Yes'],Product Disclosure Statement.pdf
Is there an investment break fee for early repayment?,"Yes, the Company may charge an investment break fee set by the Company from time to time (currently $150) for early repayment.",['Yes'],Product Disclosure Statement.pdf
What is the ranking of the Debenture Stock in the event of liquidation or winding up of the Company?,"The Debenture Stock ranks first in priority in the event of liquidation or winding up of the Company, ahead of unsecured creditors.","['first', 'ahead']",Product Disclosure Statement.pdf
Who is responsible for repaying the Debenture Stock?,"The Company is responsible for repaying the Debenture Stock, and the obligation to repay is guaranteed by Lending Crowd Limited, a subsidiary company of Finance Direct Limited.","['The Company', 'Lending Crowd Limited', 'Finance Direct Limited']",Product Disclosure Statement.pdf
What is the role of Lending Crowd Limited in the offer of Debenture Stock?,"Lending Crowd Limited, a subsidiary company of Finance Direct Limited, has granted security over its assets in support of the guarantee for the Debenture Stock.","['Lending Crowd Limited', 'Finance Direct Limited', 'Debenture Stock']",Product Disclosure Statement.pdf
Can the Company use the funds raised from the issue of Debenture Stock for any purpose?,"No, the funds raised from the issue of Debenture Stock will be used to support the Company’s lending operations directly to clients of the Company and clients of its subsidiary company, Lending Crowd Limited.",['No'],Product Disclosure Statement.pdf
What are the claims on the assets of the Company that will or may rank ahead of an investor's claim if the Company is put into liquidation or wound up?,The claims on the assets of the Company that will or may rank ahead of an investor's claim if the Company is put into liquidation or wound up are described in Section 4 of the PDS (Key features of the Debenture Stock).,"['Section 4', 'PDS', 'Debenture Stock']",Product Disclosure Statement.pdf
How does the Debenture Stock rank for repayment?,The Debenture Stock ranks for repayment as described in Section 4 of the PDS (Key features of the Debenture Stock).,"['Section 4', 'PDS', 'Key features', 'Debenture Stock']",Product Disclosure Statement.pdf
Can an investor require the Company to repay the Investment prior to the expiry of the fixed term of the Investment?,"No, an investor cannot require the Company to repay the Investment prior to the expiry of the fixed term of the Investment. However, the Company reserves the ability, at its absolute discretion, to permit the early repayment of Debenture Stock before the Maturity Date in the event of death or financial hardship.",['No'],Product Disclosure Statement.pdf
Is the Debenture Stock quoted on a licensed market in New Zealand?,"No, the Debenture Stock is not quoted on a licensed market in New Zealand and there is no other established market for trading them.",['No'],Product Disclosure Statement.pdf
How can an investor get their money out early?,"An investor can get their money out early by selling their Debenture Stock before the end of its term, but this is subject to the Company's discretion and may not be possible.","['selling', 'Debenture', 'Stock', 'term', 'discretion', 'possible']",Product Disclosure Statement.pdf
What assets are the Debenture Stock secured against?,"The Debenture Stock is secured against the Company's Personal Property and a charge over the Company's Other Property pursuant to the Trust Deed granted by the Company in favour of the Supervisor, as described in Section 4 of the PDS (Key features of Debenture Stock).","['Personal Property', 'Other Property', 'Trust Deed', 'Supervisor', 'PDS']",Product Disclosure Statement.pdf
Where can an investor find Finance Direct’s financial information?,Finance Direct’s financial information can be found in Section 5 of the PDS.,"['Section 5', 'PDS']",Product Disclosure Statement.pdf
What are the main factors that give rise to the risk of investing in debt securities?,The main factors that give rise to the risk of investing in debt securities are discussed in Section 6 of the PDS (Risks of Investing).,"['Section 6', 'PDS', 'Risks of Investing']",Product Disclosure Statement.pdf
What is the most significant risk faced by the Company?,"The most significant risk faced by the Company is the risk that the Company is unable to recover loans in full from borrowers, as described in Section 6 of the PDS (Risks of Investing).","['risk', 'loans', 'borrowers', 'PDS', 'Risks of Investing']",Product Disclosure Statement.pdf
What is the risk associated with the Company's reliance on the Platform for funding?,"The risk associated with the Company's reliance on the Platform for funding is that the Company may encounter difficulty in raising funds at short notice to meet its lending and repayment commitments, as described in Section 6 of the PDS (Risks of Investing).","['difficulty', 'raising', 'funds', 'short', 'notice', 'lending', 'repayment', 'commitments', 'PDS', 'Risks', 'Investing']",Product Disclosure Statement.pdf
What is Finance Direct Limited's business model?,"Finance Direct Limited is a Non-Bank Deposit Taker that offers competitively priced, flexible products and provides speed of service not always met by other lending institutions. The company attracts its customers through a network of introducers, press, internet, and radio advertising.","['Finance Direct Limited', 'Non-Bank Deposit Taker', 'lending institutions', 'introducers', 'press', 'internet', 'radio advertising']",Product Disclosure Statement.pdf
What is the company's approach to lending?,"The company has always adopted a conservative approach to lending, and any loans that do not meet the company's lending criteria are brokered to a more appropriate lender, minimizing the risk to the company.","['conservative', 'lending', 'criteria', 'brokered', 'risk']",Product Disclosure Statement.pdf
What is the formula that the company has adopted to navigate challenging economic times?,"The company has adopted a formula of switching its activities between lending and brokering, which has helped it successfully navigate challenging economic times.","['switching', 'lending', 'brokering']",Product Disclosure Statement.pdf
What is Lending Crowd Limited?,"Lending Crowd Limited is a peer-to-peer lending service operated by Finance Direct Limited, which advances funds on equal terms as other retail and institutional investors through an innovative internet platform.","['Lending Crowd Limited', 'peer-to-peer lending', 'Finance Direct Limited', 'internet platform']",Product Disclosure Statement.pdf
What is the company's reputation in the market?,"The company has a reputation as a niche lender, and the directors are committed to maintaining this reputation by focusing on exceptional service and quality rather than growth for growth's sake.","['niche lender', 'exceptional service', 'quality', 'growth']",Product Disclosure Statement.pdf
What is the purpose of the Product Disclosure Statement (PDS)?,The PDS provides for the issue of secured Debenture Stock at competitive interest rates while providing an opportunity to invest in a wholly New Zealand owned company.,"['PDS', 'Debenture Stock', 'competitive interest rates', 'New Zealand owned company']",Product Disclosure Statement.pdf
What is the security interest in favor of the Supervisor in the secured Debenture Stock?,"The secured Debenture Stock is secured by a first-ranking security interest in favor of the Supervisor, who represents the interests of investors.","['first-ranking', 'security interest', 'Supervisor']",Product Disclosure Statement.pdf
What is the term of the Debenture Stock?,The Debenture Stock shall be issued for fixed terms ranging between three months and five years.,"['three', 'five', 'months', 'years']",Product Disclosure Statement.pdf
How often is interest paid on the Debenture Stock?,"Interest on the Debenture Stock is paid quarterly during the term of the investment, on 31 March, 30 June, 30 September, and 31 December.","['quarterly', '31 March', '30 June', '30 September', '31 December']",Product Disclosure Statement.pdf
