question,answer,question_type,filename
What is the significance of the National Development Plan (NDP) and the Medium-Term Strategic Framework (MTSF) to the department?,"The NDP and MTSF are important frameworks that guide the department's mandate and priorities, and help the department to contribute to the government's overall goals.",simple,SA_Home_Affairs.pdf
What is the fundamental right that every employee of the Department of Home Affairs is constitutionally mandated to defend for all persons?,"The fundamental right is the right to freedom, justice, and security.",simple,SA_Home_Affairs.pdf
What are the services that the Department of Home Affairs provides to safeguard the sovereignty and national security of the State?,"The Department provides services such as registering births, affirming identities, issuing identity documents, passports, and marriage and death certificates, and granting citizenship and visas to qualifying non-citizens.",simple,SA_Home_Affairs.pdf
What is the reason for the delay in the implementation of the biometric movement control system (BMCS) at 23 selected ports of entry?,"The reason for the delay is the global shortage of computer chips, which has affected the procurement of IT equipment.",simple,SA_Home_Affairs.pdf
Why were the Refugee Reception Offices closed during the 2021/2022 financial year?,The Refugee Reception Offices were closed due to the impact of the COVID-19 pandemic and the resulting limited access to health facilities.,simple,SA_Home_Affairs.pdf
What was the increase in the department's allocation for the 2021/22 financial year compared to the previous financial year?,"The department's allocation for the 2021/22 financial year showed a marginal increase of 7.3% compared to the previous financial year, mainly due to additional funding of R562.2 million for self-financing expenditure incurred for issuing official documents, R40 million for the Independent Electoral Commission, and R138.8 million for Compensation of employees (COE) Adjustment.",simple,SA_Home_Affairs.pdf
What was the department's performance in terms of revenue collection in the 2021/22 financial year compared to the pre-Covid era?,"While the department's revenue collection in the 2021/22 financial year was a significant improvement from the previous financial year, it is still behind the revenue collected in the pre-Covid era.",simple,SA_Home_Affairs.pdf
How much was the budget allocated to the provinces for service delivery coordination in the 2022/23 financial year?,The budget allocated to the provinces for service delivery coordination in the 2022/23 financial year exceeded R2 billion per annum.,simple,SA_Home_Affairs.pdf
What were some of the key interventions aimed at eradicating queues in the offices?,"Some of the key interventions aimed at eradicating queues in the offices included the piloting of Branch Appointment Booking Systems (BABS) in all offices that can process Smart ID Cards and passports, and the inclusion of seven offices in the Presidential Infrastructure Priorities.",simple,SA_Home_Affairs.pdf
How many mobile units were procured by the department in 2021/22?,"The department procured 10 additional mobile units in 2021/22, in addition to the 100 mobile units already in operation.",simple,SA_Home_Affairs.pdf
