question,answer,tokens_present,document
What is the purpose of the Human Resources Policy and Procedures Handbook?,"The purpose of the handbook is to provide a fair, safe, and enjoyable working environment for employees, volunteers, and contractors. It also aims to provide guidelines for building a healthy environment, explain the foundation's final decisions, and serve as a standard reference for the board of directors, employees, and contractors regarding their rights and responsibilities.",,HR_Policy_Procedures.pdf
Who is the template provided for?,"The template is provided as a tool for community foundations to develop policies on all matters related to conditions of employment. It applies to employees, volunteers, and individuals working on contract.",,HR_Policy_Procedures.pdf
How are changes implemented in the foundation?,"Changes are implemented in the best interest of the foundation to provide a positive, dependable work environment. The handbook will be updated accordingly to reflect any changes.",,HR_Policy_Procedures.pdf
What is the role of the Human Resource Policy and Procedures Handbook?,"The handbook provides guidelines for building a healthy environment, encourages continuity and consistency in the administration and application of the human resource policy, and provides direction and authority in the day-to-day administration of human resources.",,HR_Policy_Procedures.pdf
What happens in case of conflict between the policy and applicable federal or provincial legislation?,"In case of conflict, such legislation will prevail.",,HR_Policy_Procedures.pdf
What information needs to be inserted in the policy?,Local community foundation specific information needs to be inserted where noted throughout the policy.,,HR_Policy_Procedures.pdf
What is the title of the senior staff member in the foundation?,The title of the senior staff member can be either Executive Director (ED) or Chief Executive Officer (CEO).,,HR_Policy_Procedures.pdf
What is the objective of the Human Resource Policy?,"The objective of the Human Resource Policy is to create a fair, safe, and enjoyable working environment for employees, volunteers, and contractors, and to provide a positive, dependable work environment.",,HR_Policy_Procedures.pdf
What is the role of the Board of Directors in relation to the Human Resource Policy and Procedures Handbook?,The Board of Directors is expected to understand their rights and responsibilities as outlined in the handbook.,,HR_Policy_Procedures.pdf
What is the role of the ED/CEO in relation to the Human Resource Policy and Procedures Handbook?,"The ED/CEO is responsible for the day-to-day administration of human resources, and is expected to understand their rights and responsibilities as outlined in the handbook.",,HR_Policy_Procedures.pdf
What is the main objective of the handbook?,"The main objective of the handbook is to provide a standard reference for the Board of Directors, employees, and contractors in understanding their rights and responsibilities, encourage continuity and consistency in the administration and application of the human resource policy, and provide direction and authority in the day-to-day administration of human resources.",,HR_Policy_Procedures.pdf
Who are the policies and procedures applicable to?,"The policies and procedures apply to all employees, volunteers, contractors, and identified areas of the Foundation.",,HR_Policy_Procedures.pdf
Who is responsible for the implementation and monitoring of the Human Resource Policies and Procedures?,The ED/CEO is responsible for the implementation and monitoring of the Human Resource Policies and Procedures.,,HR_Policy_Procedures.pdf
What is decent work?,"Decent work means more than fair wages and benefits. It reflects a cultural shift that builds on the values that drive work in the community. Decent workplaces are fair, stable, and productive workplaces that build a culture of equality and inclusion at work, and ensure everyone’s voices are valued and heard.",,HR_Policy_Procedures.pdf
Why is a code of ethics important for organizations?,"A code of ethics is important for organizations to establish and ensure that everyone in the organization is clear on the mission, values, and guiding principles. It provides employees, volunteers, and contractors with a framework of which rules exist and how to act in the grey areas of values-based ethics that aren’t always clear.",,HR_Policy_Procedures.pdf
What is the preamble of the Foundation’s Code of Ethics?,"The preamble of the Foundation’s Code of Ethics states that the Foundation requires the highest ethical standards because public trust in its performance is the bedrock of its legitimacy. Donors, volunteers, and grant recipients trust the Foundation to carry out its mission, be good stewards of endowment funds, and uphold rigorous standards of conduct.",,HR_Policy_Procedures.pdf
