question,answer,tokens_present,document
Who is the author of the lecture notes?,"Mesfin Addisse, M.D., M.P.H.","['Mesfin Addisse', 'M.D.', 'M.P.H.']",Maternal_Child_Healthcare.pdf
What is the title of the lecture notes?,Maternal and Child Health Care,"['Maternal', 'and', 'Child', 'Health', 'Care']",Maternal_Child_Healthcare.pdf
Who is the intended audience for the lecture notes?,"Health care workers, students, or faculty","['Health', 'care', 'workers', 'students', 'faculty']",Maternal_Child_Healthcare.pdf
What is the purpose of the lecture notes?,"To provide educational material for health care workers, students, or faculty on maternal and child health care","['To', 'provide', 'educational', 'material', 'for', 'health', 'care', 'workers', ',', 'students', 'or', 'faculty', 'on', 'maternal', 'and', 'child', 'health', 'care']",Maternal_Child_Healthcare.pdf
What topics are covered in the lecture notes?,"Topics such as MMR, PNM, abortion, family planning, ANC, anemia, and more","['MMR', 'PNM', 'abortion', 'family planning', 'ANC', 'anemia']",Maternal_Child_Healthcare.pdf
Are there any limitations to the topics covered in the lecture notes?,"Yes, the author had to limit the topics due to the limited time allocated for the course, so some important topics such as ARI in children, child abuse, sexual violence, etc. are not included in the lecture notes but are supposed to be covered by assignments and group discussion.",['Yes'],Maternal_Child_Healthcare.pdf
What sources were used to compile the lecture notes?,"The author used a variety of sources including notes from their student days, books, journals, WHO manuals, bulletins, and from colleagues in the Department of Community Health.","['notes', 'books', 'journals', 'WHO', 'manuals', 'bulletins', 'colleagues']",Maternal_Child_Healthcare.pdf
Who helped the author prepare the lecture notes?,The Carter Centre helped the author through the Ethiopian Public Health Initiative.,['The Carter Centre'],Maternal_Child_Healthcare.pdf
Who reviewed the lecture notes and provided feedback?,"Members of the Department of Community Health, GCMS, reviewed the notes and provided valuable and constructive comments.","['Members', 'Department', 'Community Health', 'GCMS']",Maternal_Child_Healthcare.pdf
What is the copyright status of the lecture notes?,"The lecture notes are copyrighted and limited permission is granted free of charge to print or photocopy all pages for educational, not-for-profit use by health care workers, students, or faculty. All copies must retain all author credits and copyright notices included in the original document.",['copyrighted'],Maternal_Child_Healthcare.pdf
What does MCH stand for in the context of healthcare?,MCH stands for Maternal and Child Health.,"['MCH', 'Maternal', 'Child', 'Health']",Maternal_Child_Healthcare.pdf
"What is the target population for MCH care, according to the text?","The targets for MCH care are all women in their reproductive age groups, i.e., 15 - 49 years of age, children, school age population, and adolescents.","['15', '49', 'children', 'school age population', 'adolescents']",Maternal_Child_Healthcare.pdf
"What is the main objective of the MCH program in Ethiopia, according to the text?",The main objective of the MCH program in Ethiopia is to improve the health and well-being of mothers and children.,"['improve', 'health', 'well-being', 'mothers', 'children']",Maternal_Child_Healthcare.pdf
"What are some of the strategies of the MCH program in Ethiopia, according to the text?","Some of the strategies of the MCH program in Ethiopia include improving access to MCH services, strengthening health systems, and increasing community participation.","['improving', 'access', 'strengthening', 'increasing']",Maternal_Child_Healthcare.pdf
"What is the purpose of the note that the author took parts of for the Department of Community Health, according to the text?",The purpose of the note that the author took parts of for the Department of Community Health was to provide an overview of maternal and child health care.,"['purpose', 'note', 'author', 'Department', 'Community', 'Health', 'overview', 'maternal', 'child', 'health', 'care']",Maternal_Child_Healthcare.pdf
"Who reviewed the note and provided valuable and constructive comments, according to the text?","Members of the Department of Community Health, GC MS, reviewed the note and provided valuable and constructive comments.","['Members', 'GC MS']",Maternal_Child_Healthcare.pdf
"What are some of the topics covered in the text related to maternal health, according to the table of contents?","Some of the topics covered in the text related to maternal health include maternal mortality, factors affecting health status of mothers, and maternal health services.","['maternal mortality', 'factors affecting health status of mothers', 'maternal health services']",Maternal_Child_Healthcare.pdf
"What are some of the services provided under the MCH program in Ethiopia, according to the text?","Some of the services provided under the MCH program in Ethiopia include family planning services, antenatal care service, delivery care service, postnatal care service, and school health services.","['family planning services', 'antenatal care service', 'delivery care service', 'postnatal care service', 'school health services']",Maternal_Child_Healthcare.pdf
"What is the definition of peri-natal mortality, according to the text?","Peri-natal mortality refers to the death of a woman during pregnancy, childbirth, or within 42 days of termination of pregnancy.","['peri-natal', 'mortality', 'death', 'woman', 'pregnancy', 'childbirth', 'termination']",Maternal_Child_Healthcare.pdf
"What is the purpose of the reference section at the end of the text, according to the author?",The purpose of the reference section at the end of the text is to provide a list of sources used in the document.,"['list', 'of', 'sources', 'used', 'in', 'the', 'document']",Maternal_Child_Healthcare.pdf
What percentage of the population consists of mothers and children?,"Mothers and children make up over 2/3 of the whole population. Women in reproductive age (15 – 49) constitute 21%, pregnant women, 4.5%, children under 5, 47%, children under 3, 18%, and infants, 4%.","['2/3', '21%', '4.5%', '47%', '18%', '4%']",Maternal_Child_Healthcare.pdf
What is the leading cause of maternal mortality in developing countries?,"Maternal mortality is an adverse outcome of many pregnancies, and most pregnant women in developing countries receive insufficient or no prenatal care and deliver without help from appropriately trained healthcare providers.","['insufficient', 'no', 'prenatal', 'care', 'deliver', 'healthcare', 'providers']",Maternal_Child_Healthcare.pdf
What are some of the risks associated with poor maternal health?,"Poor maternal health hurts women's productivity, their families' welfare, and socio-economic development. Large numbers of women suffer severe chronic illnesses that can be exacerbated by pregnancy and the mother's weakened immune system. Infectious diseases like malaria are more prevalent in pregnant women than in non-pregnant women, and many women suffer pregnancy-related disabilities like uterine prolapse long after delivery due to early marriage and childbearing and high fertility.","['poor', 'maternal', 'health', 'women', 'productivity', 'families', 'welfare', 'socio-economic', 'development', 'large', 'numbers', 'women', 'suffer', 'severe', 'chronic', 'illnesses', 'pregnancy', ""mother's"", 'weakened', 'immune', 'system', 'infectious', 'diseases', 'malaria', 'pregnant', 'women', 'non-pregnant', 'women', 'pregnancy-related', 'disabilities', 'uterine', 'prolapse', 'long', 'delivery', 'early', 'marriage', 'childbearing', 'high', 'fertility']",Maternal_Child_Healthcare.pdf
What is the impact of maternal mortality on fetal and perinatal health?,"The large majority of pregnancies that end in a maternal death also result in fetal or perinatal death. Among infants who survive the death of the mother, fewer than 10 percent live beyond their first birthday.","['fetal', 'perinatal', 'death']",Maternal_Child_Healthcare.pdf
What are some of the complications associated with childbirth in developing countries?,"Ante partum haemorrhage, eclampsia, and other complications are associated with large numbers of perinatal deaths each year in developing countries, plus considerable suffering and poor growth and development for those infants who survive.","['ante partum haemorrhage', 'eclampsia']",Maternal_Child_Healthcare.pdf
What are some of the factors that contribute to low birth weight in infants?,"Women are often exposed to persistent low nutritional status and high-energy expenditure due to early marriage, carrying a heavy workload, and spending a considerable portion of their lifespan in pregnancy and lactation, which predisposes them to bear low-birth-weight infants.","['low', 'nutritional', 'status', 'high-energy', 'expenditure', 'early', 'marriage', 'heavy', 'workload', 'considerable', 'portion', 'lifespan', 'pregnancy', 'lactation', 'low-birth-weight', 'infants']",Maternal_Child_Healthcare.pdf
