question,answer,question_type,filename
What is the requirement for documenting a patient's history and physical examination (H&P) before surgery or a procedure requiring anesthesia services?,"A H&P must be completed no more than 30 days before or 24 hours after inpatient or outpatient admission, and an updated examination (H&P Interval) must be completed and documented within 24 hours after admission.",simple,Stanford_Healthcare_Regulations.pdf
"What must be reported to the Medical Staff member for patients treated at Stanford Health Care for diseases diagnosed on the basis of histological sections or the morphological assessment of fine needle aspirates, bone marrow aspirates, or peripheral blood?",The diagnosis must be confirmed by a Medical Staff member with Pathology privileges.,simple,Stanford_Healthcare_Regulations.pdf
Who is responsible for reviewing and reaffirming medication orders when a patient is transferred to a different service or physician?,"If there is a change in Service (e.g. Medicine, Surgery) and/or the physician responsible for the patient, all orders for the patient must be reviewed by the new Service and/or physician and reaffirmed or discontinued via order documented in the patient's chart.",simple,Stanford_Healthcare_Regulations.pdf
What is the responsibility of the attending physician when transferring a patient's care to another SHC Medical Staff member?,The attending physician should clearly document the transfer of responsibility in the medical record to the accepting attending physician. (Reference: 11. TRANSFER OF PATIENT),simple,Stanford_Healthcare_Regulations.pdf
What information is required for orders for ancillary and diagnostic services in the patient's medical record?,"Orders for ancillary and diagnostic services must include the diagnosis (ICD code) and, as necessary, other appropriate information about the patient's diagnosis, or the sign(s) or symptom(s) providing the justification for the service / treatment.",simple,Stanford_Healthcare_Regulations.pdf
What are the requirements for documentation of invasive procedures or moderate sedation in the patient's medical record?,"A focused medical assessment must be documented prior to or at the time of an invasive procedure or moderate sedation, and should include presenting diagnosis/condition, description of symptoms, significant past medical history, current medications, any drug allergies, indications for the procedure, focused physical exam as indicated, and proposed treatment or procedures.",simple,Stanford_Healthcare_Regulations.pdf
Who is responsible for notifying the Medical Staff and attending physician of the time and place of an autopsy?,"The physician/Service is expected to attempt to obtain permission to perform an autopsy from the appropriate legally authorized person, and the Medical Staff, and specifically the attending physician, should be notified of the time and place an autopsy is performed.",simple,Stanford_Healthcare_Regulations.pdf
What is required for a patient to be admitted to the Hospital without a recorded provisional diagnosis?,"A recorded provisional diagnosis is required, except in emergencies where a diagnosis must be recorded as soon as possible.",simple,Stanford_Healthcare_Regulations.pdf
Can Medical Staff members permit other practitioners or residents to use their passwords to access SHC computers or computerized medical information?,"No, Medical Staff members may not permit any practitioner, resident, or other person to use his/her passwords to access SHC computers or computerized medical information.",simple,Stanford_Healthcare_Regulations.pdf
Who may determine the need to transfer a patient to another medical facility in an emergency situation?,"A Medical Staff member, or a member of the housestaff under the direct supervision of an SHC Medical Staff member, may determine the need to transfer a patient to another medical facility. (Reference: 13. EMERGENCY SERVICES)",simple,Stanford_Healthcare_Regulations.pdf
What is the requirement for documenting discharge summary for patients who have been in the hospital for less than 48 hours?,"For patients with a stay less than 48 hours, the final progress note may serve as the discharge summary and must contain the outcome of hospitalization, the case disposition, and any provisions for follow-up care.",simple,Stanford_Healthcare_Regulations.pdf
What is the requirement for documenting discharge summary for patients who have been in the hospital for more than 48 hours?,"For patients who have been in the hospital for more than 48 hours, the patient’s discharge summary should either be documented in the medical record or dictated within 48 hours of discharge.",simple,Stanford_Healthcare_Regulations.pdf
Can medications brought by or with the patient to SHC be administered to the patient?,"Medications brought by or with the patient to SHC may not be administered to the patient unless all of the following conditions are met: the drugs have been specifically ordered by the patient’s physician or APP and the order entered in the patient’s medical record, the drugs have been positively identified and examined for lack of deterioration by the pharmacist or physician, and the drugs are approved agents for in-hospital use as described in the Patient’s Own Medication Policy.",simple,Stanford_Healthcare_Regulations.pdf
What are the requirements for the use of symbols and abbreviations in the patient's medical record?,"Symbols and abbreviations may not be used on the face sheet or in the final diagnosis, but may be used within the medical record when approved by the Medical Staff. A list of approved and unapproved symbols and abbreviations has been approved by the Medical Staff, and use of unapproved symbols and abbreviations has the potential to negatively impact patient care.",simple,Stanford_Healthcare_Regulations.pdf
Who is responsible for notifying the attending physician of the time and place of an autopsy?,The physician/Service should attempt to obtain permission from the appropriate legally authorized person and notify the attending physician of the time and place of the autopsy.,simple,Stanford_Healthcare_Regulations.pdf
Who is responsible for the timely preparation and completion of the patient's Medical Record?,The attending physician is responsible for the timely preparation and completion of the patient's Medical Record.,simple,Stanford_Healthcare_Regulations.pdf
What is the exception to the rule that only drugs listed in the SHC Drug Formulary may be administered to inpatients?,"The exceptions to the rule that only drugs listed in the SHC Drug Formulary may be administered to inpatients are: (1) those obtained by the Non-Formulary Drug Procedure, (2) those employed in research protocols approved by Stanford University Medical Center’s Administrative Panel on Human Subjects in Medical Research, (3) those employed for purposes of direct therapeutic benefit to a particular patient in an emergency, when approved by the Chief of Staff or the Chief’s designee, or (4) those brought by or with the patient to SHC, if all of the conditions in 7.C above have been met.",simple,Stanford_Healthcare_Regulations.pdf
Who is responsible for providing emergency medical services in the Emergency Department of SHC?,"The provision of emergency medical services occurs through the Emergency Department of SHC, which is organized and directed by a member of the Medical Staff who is trained and experienced in Emergency Medicine. (Reference: 13. EMERGENCY SERVICES)",simple,Stanford_Healthcare_Regulations.pdf
What is the difference between a full operative or procedure report and a brief operative or procedure note?,"A full operative or procedure report includes all the elements of the brief operative or procedure note, plus additional information such as pre-op diagnosis, type of anesthesia or sedation, description of the procedure, and date and time of procedure.",simple,Stanford_Healthcare_Regulations.pdf
Who must be under the direct care or supervision of a member of the Medical Staff?,All patients.,simple,Stanford_Healthcare_Regulations.pdf
Who is responsible for ensuring the security of electronic data pertaining to individual patients at SHC?,"All members of the Medical Staff, Advanced Practice Providers, and their respective employees and agents are responsible for ensuring the security of electronic data pertaining to individual patients at SHC.",simple,Stanford_Healthcare_Regulations.pdf
What is required for medical student entries in the patient's medical record?,Medical student entries must include identification of student status and be counter-signed by a supervising physician.,simple,Stanford_Healthcare_Regulations.pdf
What is the requirement for documenting patient care in the medical record in the Emergency Department?,A medical record must be kept for every patient and becomes part of the SHC legal medical record. (Reference: 13. EMERGENCY SERVICES),simple,Stanford_Healthcare_Regulations.pdf
What is the responsibility of the Medical Staff member regarding the confirmation of diagnoses?,"The Medical Staff member must confirm the diagnosis before initiation of therapy, except when urgent therapy is indicated.",simple,Stanford_Healthcare_Regulations.pdf
What are the conditions under which the documentation of reports required by this section can be delegated to a member of the housestaff or an APP?,"Yes, the documentation of reports required by this section may be delegated to a member of the housestaff or an APP who was present and directly participated during the entire surgery or procedure.",conditional,Stanford_Healthcare_Regulations.pdf
"What information must be included in a patient's medical record regarding informed consent, and what procedures must be followed in case of unanticipated outcomes or medical errors?",The person designated as the primary communicator with the patient/family must document in the progress notes of the patient’s medical record what was communicated to the patient/family and any response or other discussion.,conditional,Stanford_Healthcare_Regulations.pdf
"What is the dual responsibility of the attending physician, dentist, or podiatrist in the hospital regarding patient discharge and care coordination, and how does it impact the patient's treatment outcome and follow-up plan?","The attending physician, dentist, or podiatrist is responsible for planning discharge in a timely and coordinated fashion, and must communicate appropriate medical information to the referring doctor and any institution or agency to which the patient is referred following discharge.",conditional,Stanford_Healthcare_Regulations.pdf
"What are the dual responsibilities of the attending physician in documenting the operative or procedure report, considering the patient's preoperative and postoperative care, and the physician's involvement in the procedure?","The attending physician must document an attestation statement confirming his/her level of involvement in the procedure, if the housestaff provides the documentation.",conditional,Stanford_Healthcare_Regulations.pdf
