question,answer,tokens_present,document
What is the deadline for filing Form 1040 or 1040-SR for the 2023 tax year?,"The deadline for filing Form 1040 or 1040-SR for the 2023 tax year is April 15, 2024.","['April 15, 2024']",IRS_Document_2
What is the Taxpayer Advocate Service (TAS)?,The Taxpayer Advocate Service (TAS) is an independent organization within the Internal Revenue Service (IRS) that helps taxpayers and protects taxpayer rights. TAS strives to ensure that every taxpayer is treated fairly and that you know and understand your rights under the Taxpayer Bill of Rights.,"['Taxpayer Advocate Service', 'TAS', 'Internal Revenue Service', 'IRS', 'taxpayer rights', 'Taxpayer Bill of Rights']",IRS_Document_2
What are Low Income Taxpayer Clinics (LITCs)?,"LITCs are independent from the Internal Revenue Service (IRS) and the Taxpayer Advocate Service (TAS). LITCs represent individuals whose income is below a certain level and who need to resolve tax problems with the IRS. LITCs can represent taxpayers in audits, appeals, and tax collection disputes before the IRS and in court.","['LITCs', 'IRS', 'TAS', 'taxpayers', 'income', 'audits', 'appeals', 'tax collection disputes', 'court']",IRS_Document_2
How do I reconcile advance payments of the premium tax credit with my premium tax credit for the year?,You will need to complete Form 8962 to reconcile advance payments of the premium tax credit with your premium tax credit for the year.,['You will need to complete Form 8962 to reconcile advance payments of the premium tax credit with your premium tax credit for the year.'],IRS_Document_2
What is the purpose of Form 1095-A?,Form 1095-A is used to report information about advance payments of the premium tax credit made to your insurance company to reduce your monthly premium payment.,"['Form 1095-A', 'premium tax credit', 'insurance company', 'monthly premium payment']",IRS_Document_2
How do I report the credit for previously owned clean vehicles on my tax return?,"The credit for previously owned clean vehicles is reported on Form 8936 and Schedule 3, line 6f.","['The credit for previously owned clean vehicles is reported on Form 8936 and Schedule 3, line 6f.']",IRS_Document_2
How do I report accrued leave payment on my tax return?,Accrued leave payment received as a lump sum is considered a salary payment and should be included in your income in the tax year you receive it.,"['salary payment', 'tax year']",IRS_Document_2
How do I report capital gain distributions on my tax return?,"Capital gain distributions are reported on line 7 of Form 1040 and are checked on that line. If you received capital gain distributions as a nominee, you should report only the amount that belongs to you.","['Capital gain distributions', 'Form 1040', 'line 7']",IRS_Document_2
What is the purpose of the Standard Deduction Worksheet for Dependents?,The Standard Deduction Worksheet for Dependents is used to figure the standard deduction for dependents who are filing a tax return. It takes into account the dependent's income and the amount that can be claimed as a deduction by the person who can claim the dependent.,"['dependent', 'deduction', 'income', 'claim', 'person']",IRS_Document_2
Do I have to file a tax return if I don't have to pay taxes?,"Yes, you should still file a tax return even if you don't have to pay taxes. You may be eligible for credits such as the Earned Income Tax Credit, Additional Child Tax Credit, or Premium Tax Credit, which you can only receive if you file a tax return.",['Yes'],IRS_Document_2
How do I know if I'm eligible for free tax software?,"The IRS's Free File program offers free tax software to those who earned $79,000 or less in 2023. You can visit IRS.gov/FreeFile to see all the eligibility criteria for free usage or use an online tool to find which free software products match your situation.","['$79,000', '2023', 'IRS.gov/FreeFile']",IRS_Document_2
Can I file my taxes electronically for free?,"Yes, you can file your taxes electronically for free through the IRS's Free File program or Free File Fillable Forms. Free File Fillable Forms is best for people experienced in preparing their own tax returns and supports only federal tax forms.",['Yes'],IRS_Document_2
Can I include my child's income on my tax return?,"If certain conditions apply, you can elect to include on your return the income of a child who was under age 19 at the end of 2023 or was a full-time student under age 24 at the end of 2023. To do so, use Form 8814.","['under age 19', 'full-time student', 'under age 24', 'Form 8814']",IRS_Document_2
Can I get an extension of time to file my tax return?,"Yes, you can get an automatic 6-month extension of time to file your tax return by filing Form 4868. This extension gives you an extra 2 months to file and pay the tax, but interest will be charged on any unpaid tax.",['Yes'],IRS_Document_2
Who qualifies for an automatic extension of time to file without filing Form 4868?,"U.S. citizens or resident aliens who live outside the United States and Puerto Rico and have their main place of business or post of duty outside the United States and Puerto Rico, or those who are in military or naval service on duty outside the United States and Puerto Rico, qualify for an automatic extension of time to file without filing Form 4868.","['U.S. citizens', 'resident aliens', 'live outside the United States and Puerto Rico', 'main place of business or post of duty', 'military or naval service', 'duty outside the United States and Puerto Rico']",IRS_Document_2
Can I use a private delivery service to mail my tax return?,"Yes, you can use certain private delivery services designated by the IRS to meet the “time-ly mailing treated as timely filing/paying” rule for tax returns and payments.",['Yes'],IRS_Document_2
Can I use a private delivery service to file my tax return?,"Yes, you can use certain private delivery services designated by the IRS to file your tax return.",['Yes'],IRS_Document_2
"Do I need to file a tax return if I am 65 or older and my gross income was less than $27,700?","No, you do not need to file a tax return if you are 65 or older and your gross income was less than $27,700.",['No'],IRS_Document_2
What is the maximum amount of unearned income that a single dependent can have and still be required to file a tax return?,"The maximum amount of unearned income that a single dependent can have and still be required to file a tax return is $1,250.","['$1,250']",IRS_Document_2
What is the minimum amount of earned income that requires filing a tax return in 2023?,"The minimum amount of earned income that requires filing a tax return in 2023 is $13,850.","['$13,850']",IRS_Document_2
