question,answer,tokens_present,document
"What is the purpose of the Risk Management Guidelines for Banks and Financial Institutions, 2010?",The purpose of the Risk Management Guidelines is to provide a framework for banks and financial institutions to manage risks effectively and to promote a sound risk management culture.,"['framework', 'banks', 'financial institutions', 'risk management', 'culture']",Risk_Management_Guidelines.pdf
What are the objectives of the Risk Management Guidelines?,"The objectives of the Risk Management Guidelines are to ensure that banks and financial institutions have adequate risk management processes in place to identify, assess, and manage risks effectively.","['adequate', 'risk', 'management', 'processes', 'identify', 'assess', 'manage']",Risk_Management_Guidelines.pdf
What is the role of the board and senior management in risk management?,The board and senior management are responsible for providing active oversight and direction to the risk management function. They are also responsible for setting the tone for a sound risk management culture within the organization.,"['board', 'senior', 'management', 'risk', 'management', 'function', 'culture', 'organization']",Risk_Management_Guidelines.pdf
What are the key components of a risk management framework?,"The key components of a risk management framework are: (1) risk management policies, procedures, and limits; (2) risk measurement, monitoring, and management information systems; (3) internal controls; and (4) independent review.","['risk management', 'policies', 'procedures', 'limits', 'risk measurement', 'monitoring', 'management information systems', 'internal controls', 'independent review']",Risk_Management_Guidelines.pdf
What is the importance of risk measurement and monitoring?,"Risk measurement and monitoring are essential to ensure that risks are identified and assessed accurately, and that appropriate actions are taken to manage them effectively.","['risk', 'measurement', 'monitoring', 'identified', 'assessed', 'managed']",Risk_Management_Guidelines.pdf
What is the role of the risk management function in a bank or financial institution?,"The risk management function is responsible for identifying, assessing, and managing risks on a day-to-day basis. It also provides regular reports to the board and senior management on risk exposures and risk management activities.","['risk', 'management', 'function', 'bank', 'financial', 'institution', 'identifying', 'assessing', 'managing', 'reports', 'board', 'senior', 'management', 'risk', 'exposures', 'activities']",Risk_Management_Guidelines.pdf
"What is contingency planning, and why is it important?",Contingency planning is the process of identifying potential risks and developing strategies to mitigate their impact. It is important because it helps banks and financial institutions to be prepared for unexpected events and to minimize potential losses.,"['Contingency planning', 'risks', 'strategies', 'banks', 'financial institutions', 'unexpected events', 'losses']",Risk_Management_Guidelines.pdf
What is the difference between credit risk and liquidity risk?,Credit risk is the risk of loss due to a borrower's failure to repay a loan. Liquidity risk is the risk that a bank or financial institution may not be able to meet its short-term financial obligations.,"['credit risk', 'liquidity risk']",Risk_Management_Guidelines.pdf
What are some of the key principles of credit risk management?,Some of the key principles of credit risk management are: (1) credit strategy; (2) credit policies and procedures; (3) credit risk measurement and monitoring; and (4) credit risk mitigation techniques.,"['credit strategy', 'credit policies', 'credit risk', 'monitoring', 'mitigation']",Risk_Management_Guidelines.pdf
What are some of the key principles of liquidity risk management?,Some of the key principles of liquidity risk management are: (1) liquidity risk strategy; (2) liquidity policies and procedures; (3) liquidity risk measurement and monitoring; and (4) liquidity risk mitigation techniques.,"['liquidity risk strategy', 'liquidity policies', 'liquidity risk measurement', 'liquidity risk mitigation']",Risk_Management_Guidelines.pdf
What is the importance of internal controls in risk management?,"Internal controls are essential in risk management because they help to ensure that risks are identified and managed effectively, and that the risk management process is operating as intended.","['essential', 'risk management', 'identified', 'managed', 'operating']",Risk_Management_Guidelines.pdf
What is the purpose of the Liquidity Management Structure?,The purpose of the Liquidity Management Structure is to ensure that the bank maintains sufficient liquidity to meet its financial obligations and to manage liquidity risk effectively. (3.2),"['sufficient liquidity', 'financial obligations', 'liquidity risk']",Risk_Management_Guidelines.pdf
What are the three main components of the Liquidity Management Structure?,"The three main components of the Liquidity Management Structure are the Liquidity Risk Strategy, Liquidity Policies, and Procedures and Limits. (3.3)","['Liquidity Risk Strategy', 'Liquidity Policies', 'Procedures and Limits']",Risk_Management_Guidelines.pdf
