question,answer,tokens_present,document
What is the purpose of the Information Security Policy?,"The purpose of the Information Security Policy is to express <Organization>’s commitment to managing information security risks effectively and efficiently, coordinated globally and in compliance with applicable regulations wherever it conducts business.","['commitment', 'managing', 'information', 'security', 'risks', 'effectively', 'efficiently', 'globally', 'compliance', 'regulations', '<Organization>']",Cyber_Security_Policy.pdf
Who does the Information Security Policy apply to?,"The Information Security Policy applies to all employees, vendors, contractors, and consultants who create, distribute, access, or manage information by means of <Organization>’s information technology systems, including personal or corporate computers, networks, and communication services by which they are connected.","['employees', 'vendors', 'contractors', 'consultants', '<Organization>’s', 'information technology systems']",Cyber_Security_Policy.pdf
What is the role of an Information Owner?,"Information Owners are responsible for the acquisition, development, and maintenance of applications that process <Organization> information. They designate the relevant sensitivity classification, designate the appropriate level of criticality, define which users will be granted access, and approve requests for various ways in which the information will be utilized.","['Information Owners', 'responsible', 'acquisition', 'development', 'maintenance', 'applications', 'sensitivity', 'classification', 'criticality', 'users', 'access', 'utilized']",Cyber_Security_Policy.pdf
Who are Custodians?,"Custodians are in physical or logical possession of either <Organization> information or information that has been entrusted to <Organization>. They are responsible for safeguarding the information, including implementing access control systems to prevent inappropriate disclosure, and making backups so that critical information will not be lost.","['Custodians', 'information', 'Organization', 'responsible', 'safeguarding', 'access', 'control', 'systems', 'disclosure', 'backups', 'critical']",Cyber_Security_Policy.pdf
What is the scope of the Information Security Policy?,"The Information Security Policy applies to all aspects of information security and continuity from initial design of a system through implementation and operation. It also addresses any device used to store, process, or communicate <Organization> proprietary or other protected information.","['all', 'aspects', 'information', 'security', 'continuity', 'device', 'store', 'process', 'communicate', '<Organization>', 'proprietary', 'protected']",Cyber_Security_Policy.pdf
What is the purpose of the Policy Change Log?,The purpose of the Policy Change Log is to track and document all changes made to the Information Security Policy.,"['track', 'document', 'changes', 'Information Security Policy']",Cyber_Security_Policy.pdf
Who is responsible for implementing and enforcing the Information Security Policy?,The Security Officer is responsible for implementing and enforcing the Information Security Policy.,"['The', 'Security', 'Officer']",Cyber_Security_Policy.pdf
What is the role of the Security Awareness Program?,The Security Awareness Program is designed to educate employees and users of information systems at <Organization> locations about the importance of information security and their role in protecting it.,"['The', 'Security', 'Awareness', 'Program', 'is', 'designed', 'to', 'educate', 'employees', 'and', 'users', 'of', 'information', 'systems', 'at', '<Organization>', 'locations', 'about', 'the', 'importance', 'of', 'information', 'security', 'and', 'their', 'role', 'in', 'protecting', 'it']",Cyber_Security_Policy.pdf
What is the purpose of the Disaster Recovery/Business Continuity Planning?,The purpose of the Disaster Recovery/Business Continuity Planning is to ensure that critical business functions can continue to operate in the event of a disaster or disruption.,"['Disaster', 'Recovery', 'Business', 'Continuity', 'Planning']",Cyber_Security_Policy.pdf
How often should the Information Security Policy be reviewed and updated?,"The Information Security Policy should be reviewed and updated annually, or as needed, to ensure that it remains current and effective.","['annually', 'or', 'as needed']",Cyber_Security_Policy.pdf
