question,answer,question_type,filename
What was the estimated amount of fraud prevented in the UK after three men were convicted of launching sophisticated phishing scams?,£59m worth of fraud was prevented.,simple,Information_Security.pdf
Name some organizations that perform information security threat trend analysis and share security threat trend reports.,"Some organizations that perform information security threat trend analysis and share security threat trend reports include FireEye, IBM, Microsoft, Symantec, and Verizon.",simple,Information_Security.pdf
What was the estimated amount of money raked in by the fraudsters in the UK's biggest ever cyber scam?,They raked in up to £2million a week.,simple,Information_Security.pdf
"How many phishing pages were analyzed by the Met Police Central e-Crime Unit (PCeU), the Serious Organized Crime Agency, and the US Secret Service?","They analyzed 2,600 phishing pages that mimicked banking websites.",simple,Information_Security.pdf
What is the purpose of the Academy of ICT Essentials for Government Leaders module series?,"The purpose of the Academy of ICT Essentials for Government Leaders module series is to provide a good understanding of what the current digital technology is capable of achieving and where technology is headed, and what this implies for policymaking.",simple,Information_Security.pdf
What was the name of the botnet that generated billions of emails per day promoting unlicensed online pharmacies and cut-price impotence pills?,The Rustock botnet.,simple,Information_Security.pdf
Who prepared the Academy of ICT Essentials for Government Leaders: Information Security and Privacy module?,"The Academy of ICT Essentials for Government Leaders: Information Security and Privacy module was prepared by Freddy Tan, under the overall guidance of Kiyoung Ko, Director of Asian and Pacific Training Centre for Information and Communication Technology for Development (APCICT).",simple,Information_Security.pdf
What is the significance of the module's coverage of standards of information security and privacy protection used by some countries and international organizations?,The module's coverage of standards of information security and privacy protection used by some countries and international organizations provides an overview of best practices and helps users understand the importance of aligning their own policies and practices with international standards.,simple,Information_Security.pdf
What is the role of the Asian and Pacific Training Centre for Information and Communication Technology for Development (APCICT) in developing the module series?,"The Asian and Pacific Training Centre for Information and Communication Technology for Development (APCICT) has developed the module series to provide a good understanding of what the current digital technology is capable of achieving and where technology is headed, and what this implies for policymaking.",simple,Information_Security.pdf
"What is the role of the Attorney General's Office of the Republic of Indonesia in combating cybercrime, according to the text?","The Attorney General's Office of the Republic of Indonesia is institutionally strengthening and revitalizing the institution by preparing, designing, and formulating a Cybercrime Task Force, which will consist of prosecutors who specifically have knowledge, abilities, skills, and expertise in handling cybercrime cases.",simple,Information_Security.pdf
What is the purpose of the Academy of ICT Essentials for Government Leaders module series?,"The purpose of the Academy of ICT Essentials for Government Leaders module series is to develop familiarity with the substantive issues related to ICTD from both a policy and technology perspective for policymakers, government officials, and managers in the public sector.",simple,Information_Security.pdf
"What can rogue employees do to an organization's network, systems, and data?","Rogue employees, especially those with knowledge of and access to networks, data centers, and admin accounts, can cause serious damage to an organization's network, systems, and data.",simple,Information_Security.pdf
What was the method used by the group behind the attack to compromise endpoint IoT devices?,They used a botnet to flood traffic to DNS hosting provider Dyn.,simple,Information_Security.pdf
What was the method used by Microsoft to shut down the Rustock botnet?,"Microsoft, backed by US Marshals, seized servers that it was estimated covertly controlled almost a million Windows PCs.",simple,Information_Security.pdf
Who reviewed and provided inputs to the Information Security and Privacy module?,"The Information Security and Privacy module benefited from substantive comments of participants to the Consultative Meeting on Capacity Building for Digital Development, held on 27-28 November 2019, in Incheon, and additional reviews and inputs were provided by the International Telecommunications Union (ITU) and the Information and Communications Technology and Disaster Risk Reduction Division (IDD) of ESCAP.",simple,Information_Security.pdf
What is the significance of the increasing trend of hacking groups targeting major sites with national interest and holding highly sensitive information?,The increasing trend of hacking groups targeting major sites with national interest and holding highly sensitive information poses a significant threat to national security and highlights the need for increased measures to protect against cyber attacks.,simple,Information_Security.pdf
"What is the role of the Internet in cyberterrorism, cyberpolitics, and cyberwarfare?","The Internet has become a tool for influencing foreign policy and poses a major threat to national security in the realms of cyberterrorism, cyberpolitics, and cyberwarfare.",simple,Information_Security.pdf
What are some trends in information security threats that have been reported?,"Some trends in information security threats that have been reported include the automation of attack tools, the use of polymorphic tools, and the use of anti-forensic techniques to mask or hide the nature of attack tools.",simple,Information_Security.pdf
How did the hackers behind the October 2016 DDoS attack compromise endpoint IoT devices?,"The hackers behind the October 2016 DDoS attack compromised 20,000 endpoint IoT devices and transformed them into a botnet to flood traffic to DNS hosting provider Dyn.",simple,Information_Security.pdf
What is risk management in the context of information security?,"Risk management in the context of information security is the process of identifying, assessing, and mitigating risks to information assets.",simple,Information_Security.pdf
What is the name of the standard for information security management systems published by the International Organization for Standardization and International Electrotechnical Commission (ISO/IEC)?,The standard for information security management systems published by the International Organization for Standardization and International Electrotechnical Commission (ISO/IEC) is ISO/IEC 27001.,simple,Information_Security.pdf
What is the difference between information security and cybersecurity?,"Cybersecurity includes not only information security but also digital infrastructure security, such as Supervisory Control and Data Acquisition (SCADA) systems and Internet-of-Things (IoT) systems, which goes beyond the protection of valuable information.",simple,Information_Security.pdf
What was the impact of the WannaCry cyber-attack on the NHS?,"The WannaCry cyber-attack cost the NHS £92m, with 19,000 appointments cancelled and £72m spent on cleanup and upgrades to its IT systems. (Source: The Telegraph; WannaCry cyber-attack cost the NHS £92m as 19,000 appointments cancelled, https://www.telegraph.co.uk/technology/2018/10/11/wannacry-cyber-attack-cost-nhs-92m-19000-appointments-cancelled)",simple,Information_Security.pdf
