question,answer,tokens_present,document
What is the purpose of the Information Security Policy?,"The purpose of the Information Security Policy is to protect the confidentiality, integrity, and availability of the State of Oklahoma's information assets.","['confidentiality', 'integrity', 'availability', 'information assets']",Information_Security_Policy.pdf
Who is responsible for the security of information assets?,"The responsibility for the security of information assets lies with all employees, contractors, and third-party vendors who have access to the information.","['all', 'employees', 'contractors', 'third-party', 'vendors', 'access', 'information']",Information_Security_Policy.pdf
What are the three main areas of focus for the Information Security Policy?,"The three main areas of focus for the Information Security Policy are: 1) Information Security Management, 2) Information Access and Use, and 3) Physical and Environmental Security.","['Information Security Management', 'Information Access and Use', 'Physical and Environmental Security']",Information_Security_Policy.pdf
What is the role of the Central Security Program in information security management?,"The Central Security Program is responsible for overseeing and implementing the Information Security Policy, providing guidance and support to agencies, and monitoring compliance.","['Central', 'Security', 'Program', 'responsible', 'overseeing', 'implementing', 'guidance', 'support', 'agencies', 'monitoring', 'compliance']",Information_Security_Policy.pdf
What is the purpose of incident management procedures?,The purpose of incident management procedures is to respond to and manage security incidents in a timely and effective manner to minimize the impact on the organization.,"['incident', 'management', 'procedures', 'respond', 'minimize', 'impact', 'organization']",Information_Security_Policy.pdf
What is the role of the Incident Response Team in managing security incidents?,"The Incident Response Team is responsible for coordinating the response to security incidents, conducting investigations, and implementing measures to contain and mitigate the incident.","['Incident', 'Response', 'Team', 'coordinate', 'investigate', 'contain', 'mitigate']",Information_Security_Policy.pdf
What are some of the physical and environmental security measures that should be implemented to protect information assets?,"Some of the physical and environmental security measures that should be implemented to protect information assets include: access controls, surveillance cameras, secure storage of media, and proper disposal of sensitive materials.","['access controls', 'surveillance cameras', 'secure storage of media', 'proper disposal of sensitive materials']",Information_Security_Policy.pdf
What is the purpose of media sanitization procedures?,The purpose of media sanitization procedures is to ensure that all electronic storage media containing sensitive information is properly erased or destroyed before it is disposed of or reused.,"['ensure', 'erased', 'destroyed', 'disposed', 'reused']",Information_Security_Policy.pdf
What is the role of the Information Security Officer in implementing the Information Security Policy?,"The Information Security Officer is responsible for developing, implementing, and enforcing the Information Security Policy, as well as providing training and awareness programs for employees.","['developing', 'implementing', 'enforcing', 'training', 'awareness']",Information_Security_Policy.pdf
How often should the Information Security Policy be reviewed and updated?,"The Information Security Policy should be reviewed and updated annually, or as needed, to ensure that it remains current and effective in addressing new security risks and threats.","['annually', 'or as needed']",Information_Security_Policy.pdf
"What is the purpose of the document titled ""Information Security Policies, Procedures, Guidelines""?","The purpose of the document is to provide the minimum Information Security Policy, as well as procedures, guidelines, and best practices for the protection of the information assets of the State of Oklahoma.","['minimum', 'Information', 'Security', 'Policy', 'procedures', 'guidelines', 'best', 'practices', 'protection', 'information', 'assets', 'State', 'Oklahoma']",Information_Security_Policy.pdf
"Who is responsible for communicating the Policy, procedures, guidelines, and best practices to all state agencies?","The Office of Management and Enterprise Services Information Services (OMES IS) is responsible for communicating the Policy, procedures, guidelines, and best practices to all state agencies.",['The Office of Management and Enterprise Services Information Services (OMES IS)'],Information_Security_Policy.pdf
What is the difference between guidelines and best practices in the document?,"Guidelines are generally prefaced with ""should"" and are considered mandatory unless limited by functional or environmental considerations, while best practices are also prefaced with ""should"" and are recommended but not required.","['Guidelines', 'best practices', 'mandatory', 'recommended']",Information_Security_Policy.pdf
"What is the process for resolving system limitations that do not conform to the Policy, procedures, guidelines, and best practices indicated in the document?","A plan for resolution of these system limitations should be created, documented, and available on request.","['A', 'plan', 'for', 'resolution', 'of', 'these', 'system', 'limitations', 'should', 'be', 'created', 'documented', 'and', 'available', 'on', 'request']",Information_Security_Policy.pdf
What is the definition of information as stated in the Security Policy?,"Information includes any data or knowledge collected, processed, stored, managed, transferred, or disseminated by any method.","['information', 'data', 'knowledge', 'collected', 'processed', 'stored', 'managed', 'transferred', 'disseminated', 'method']",Information_Security_Policy.pdf
Who is the owner of the information?,"The owner of the information is the State Agency responsible for producing, collecting, and maintaining the authenticity, integrity, and accuracy of the information.","['State Agency', 'responsible', 'producing', 'collecting', 'maintaining', 'authenticity', 'integrity', 'accuracy']",Information_Security_Policy.pdf
What is the role of the Hosting State Agency?,"The Hosting State Agency has physical and operational control of the hardware, software, communications, and data bases (files) of the owning Agency.","['Hosting State Agency', 'physical', 'operational', 'control', 'hardware', 'software', 'communications', 'data bases', 'files', 'owning Agency']",Information_Security_Policy.pdf
What is the purpose of the Acceptable Use Policy for Mobile Computing Devices?,The purpose of the Acceptable Use Policy for Mobile Computing Devices is to provide guidelines for the use of mobile computing devices to ensure the security and integrity of State information.,"['guidelines', 'security', 'integrity', 'State', 'information']",Information_Security_Policy.pdf
What is the purpose of the Media Sanitization Procedures for the Destruction or Disposal of Electronic Storage Media?,The purpose of the Media Sanitization Procedures is to ensure that all electronic storage media containing State information are properly sanitized before disposal or destruction to prevent unauthorized access to sensitive information.,"['properly sanitized', 'disposal', 'destruction', 'sensitive information']",Information_Security_Policy.pdf
Who is responsible for the confidentiality of information created or hosted by a State Agency?,"The State Agency responsible for producing, collecting, and maintaining the information is responsible for its confidentiality.","['State Agency', 'responsible', 'confidentiality']",Information_Security_Policy.pdf
What is the responsibility of the hosting State Agency regarding information security?,"The hosting State Agency is responsible for securing strategic and operational control of its hardware, software, and telecommunication facilities, and implementing effective safeguards and firewalls to prevent unauthorized access.","['responsibility', 'hosting', 'State', 'Agency', 'information', 'security', 'strategic', 'operational', 'control', 'hardware', 'software', 'telecommunication', 'facilities', 'safeguards', 'firewalls', 'unauthorized', 'access']",Information_Security_Policy.pdf
"Who is responsible for interpreting confidentiality restrictions imposed by information security policies, procedures, guidelines, laws, and statutes?","The State Agency Director, whose agency collects and maintains the information, is responsible for interpreting confidentiality restrictions.",['The State Agency Director'],Information_Security_Policy.pdf
How is information access controlled and managed?,"Information access is subject to legal restrictions and appropriate approval processes of the owning State Agency, and the hosting State Agency has the responsibility to adhere to procedures and put into effect all authorized changes received from the owning State Agencies in a timely manner.","['legal', 'restrictions', 'approval', 'processes', 'owning', 'hosting', 'procedures', 'authorized', 'changes', 'timely']",Information_Security_Policy.pdf
What is the responsibility of the hosting State Agency regarding information availability?,"The hosting State Agency is responsible for ensuring information availability and granting access to information as needed to all State Agencies to support their required processes, functions, and timelines.","['responsibility', 'information', 'availability', 'State', 'Agency']",Information_Security_Policy.pdf
"What is the purpose of the Information Security Policy, Procedures, and Guidelines document?",The document outlines the policy and procedures required for creating and maintaining a secure environment for the storage and dissemination of information.,"['policy', 'procedures', 'secure', 'environment', 'storage', 'dissemination', 'information']",Information_Security_Policy.pdf
"Who is responsible for developing, controlling, and communicating Information Security Policy, Procedures, and Guidelines for the State of Oklahoma?","OMES IS is responsible for developing, controlling, and communicating Information Security Policy, Procedures, and Guidelines for the State of Oklahoma.","['OMES', 'IS']",Information_Security_Policy.pdf
What is the minimum requirement for information security at all State Agencies?,"The Information Security Policy, Procedures, and Guidelines document represents the minimum requirements for information security at all State Agencies.","['The', 'minimum', 'requirements', 'information', 'security', 'State', 'Agencies']",Information_Security_Policy.pdf
What is the role of the State Agencies in protecting the confidentiality of information?,State Agencies that access the systems have the responsibility to protect the confidentiality of information which they use in the course of their assigned duties.,"['State', 'Agencies', 'responsibility', 'protect', 'confidentiality', 'information']",Information_Security_Policy.pdf
What is the importance of commitment to protecting the information of the State?,"It is critical that all agencies and their staff are fully aware of the Policy, procedures, guidelines, and best practices and commit to protecting the information of the State. Common sense and high ethical standards are required to complement the security guidelines.","['critical', 'fully', 'commit', 'high', 'required']",Information_Security_Policy.pdf
What is the purpose of the Policy and procedures outlined in the document?,The purpose of the Policy and procedures outlined in the document is to establish minimum security levels required for creating and maintaining a secure environment for the storage and dissemination of information.,"['minimum', 'security', 'levels', 'storage', 'dissemination', 'information']",Information_Security_Policy.pdf
Who is responsible for establishing minimum mandatory standards for information security and internal controls?,OMES IS has the responsibility to establish minimum mandatory standards for information security and internal controls as well as contingency planning and disaster recovery.,"['OMES', 'IS']",Information_Security_Policy.pdf
What is the scope of the Policy and procedures outlined in the document?,"The Policy and procedures outlined in the document apply to all agencies and are inclusive of their hardware facilities, software installations, communication networks / facilities as well as information.","['all', 'hardware', 'software', 'communication', 'facilities', 'information']",Information_Security_Policy.pdf
"Who is responsible for communicating the details of the Policy and procedures to State employees, contractors, or other entities?","The Policy and procedures are distributed to all State agencies through their respective Security Representative who will then be responsible for communicating the details to State employees as well as contractors or other entities whose position responsibilities include the creation, maintenance, or access of State information residing on any computer system or platform.","['responsible', 'communicating', 'details', 'Policy', 'procedures', 'State', 'employees', 'contractors', 'entities']",Information_Security_Policy.pdf
"What is the primary focus of the information security policies, procedures, guidelines, and best practices outlined in the document?","The primary focus of the information security policies, procedures, guidelines, and best practices outlined in the document is on the confidentiality and integrity of the information required for delivering information throughout the State.","['confidentiality', 'integrity', 'information', 'State']",Information_Security_Policy.pdf
Who is responsible for the confidentiality of all information created or hosted by a State Agency?,The confidentiality of all information created or hosted by a State Agency is the responsibility of all State Agencies.,"['all', 'State', 'Agency']",Information_Security_Policy.pdf
What is the criteria for releasing information?,"Release of information is strictly for job-related functions. Confidentiality is compromised when knowingly or inadvertently, information crosses the boundaries of job-related activities.","['strictly', 'job-related', 'Confidentiality', 'compromised']",Information_Security_Policy.pdf
How should users select and use passwords?,Users must be required to follow good security practices in the selection and use of passwords. Passwords provide a means of validating a user's identity and thereby establish access rights to information processing facilities or services.,"['passwords', 'security', 'practices', 'identity', 'access', 'rights', 'information', 'processing', 'facilities', 'services']",Information_Security_Policy.pdf
What is the minimum requirement for information security and internal controls?,"The Policy, procedures, guidelines, and best practices outlined in the document represent the minimum security levels required and must be used as a guide in developing a detailed security plan and additional policies (if required).","['minimum', 'security', 'levels', 'required']",Information_Security_Policy.pdf
"What is the purpose of the Oklahoma Statute, Title 62. Section 34.12(A)(3) referenced in the document?","The purpose of the Oklahoma Statute, Title 62. Section 34.12(A)(3) is to establish minimum mandatory standards for information security and internal controls as well as contingency planning and disaster recovery.","['establish', 'minimum', 'mandatory', 'standards', 'information', 'security', 'internal', 'controls', 'contingency', 'planning', 'disaster', 'recovery']",Information_Security_Policy.pdf
What is the purpose of the information security policy?,"The purpose of the information security policy is to protect information from inadvertent or intentional damage, unauthorized disclosure or use, and to ensure the authenticity, integrity, and accuracy of information.","['protect', 'inadvertent', 'intentional', 'damage', 'unauthorized', 'disclosure', 'use', 'authenticity', 'integrity', 'accuracy', 'information']",Information_Security_Policy.pdf
Who is responsible for maintaining the confidentiality of information?,All agency staff are responsible for maintaining the confidentiality of information.,"['All', 'agency', 'staff']",Information_Security_Policy.pdf
What are some good security practices for selecting and using passwords?,"Good security practices for selecting and using passwords include keeping passwords confidential, avoiding keeping a paper record of passwords, changing passwords whenever there is any indication of possible system or password compromise, selecting quality passwords with a minimum length of eight characters that are easy to remember and not based on anything somebody else could easily guess or obtain using person-related information, avoiding consecutive identical characters or all-numeric or all-alphabetical groups, changing passwords at regular intervals, avoiding reusing or cycling old passwords, changing temporary passwords at the first log-on, not including passwords in any automated log-on process, and not sharing individual user passwords.","['avoiding', 'changing', 'not', 'first', 'not']",Information_Security_Policy.pdf
Who is responsible for protecting information from inadvertent or intentional damage?,The owning State Agency is responsible for protecting information from inadvertent or intentional damage.,"['The', 'owning', 'State', 'Agency', 'is', 'responsible', 'for', 'protecting', 'information', 'from', 'inadvertent', 'or', 'intentional', 'damage']",Information_Security_Policy.pdf
What should all information content reflect?,All information content must reflect the actual state of affairs of the respective Agency.,"['actual', 'state', 'affairs', 'Agency']",Information_Security_Policy.pdf
Who should be notified immediately in the event of a dismissal?,The hosting agency's Security Administration should be notified immediately in the event of a dismissal.,"['hosting agency', 'Security Administration']",Information_Security_Policy.pdf
What is the role of the security representative?,"The security representative's role includes communicating the information security policy to all their respective agency's employees, communicating the appropriate procedures, guidelines, and best practices to the responsible user, owner, or people directly responsible for hosting activities, granting user access to system functions, and reporting all deviations to the policy, procedures, guidelines, and best practices.","['communicating', 'policy', 'procedures', 'guidelines', 'best practices', 'user', 'access', 'system', 'deviations']",Information_Security_Policy.pdf
What is the responsibility of the hosting agency's Security Administration function?,"The hosting agency's Security Administration function is responsible for confirming set-up to the Agency Director and the individual concerned via email when the set-up is complete for the role of Security Representative, confirming set-up to the Security Representative and the individual concerned when the set-up is complete for the use roles assigned, and running a daily report to list terminations.","['confirming', 'set-up', 'complete', 'role', 'Security', 'Representative', 'use', 'roles', 'assigned', 'daily', 'report', 'list', 'terminations']",Information_Security_Policy.pdf
How should agencies notify the hosting agency of terminations?,Agencies should notify the hosting agency of terminations using agreed-upon formal notice or by phone and/or email in the case of dismissals.,"['using', 'formal', 'notice', 'phone', 'email', 'dismissals']",Information_Security_Policy.pdf
"What should be done to ensure the authenticity, integrity, and accuracy of information?","The owning State Agency should ensure the authenticity, integrity, and accuracy of information by following the procedures outlined in the information security policy.","['authenticity', 'integrity', 'accuracy', 'information', 'security', 'policy']",Information_Security_Policy.pdf
What is the responsibility of the hosting agency regarding terminations?,The hosting agency will run a daily report to list terminations and lock the access privileges of terminated users at the end of the day on the effective date.,"['The', 'hosting', 'agency', 'will', 'run', 'a', 'daily', 'report', 'to', 'list', 'terminations', 'and', 'lock', 'the', 'access', 'privileges', 'of', 'terminated', 'users', 'at', 'the', 'end', 'of', 'the', 'day', 'on', 'the', 'effective', 'date']",Information_Security_Policy.pdf
What is the responsibility of all agencies regarding terminations?,All agencies are responsible for notifying the hosting agency of terminations using agreed-upon formal notice or by phone and/or email in the case of dismissals.,"['responsibility', 'notifying', 'hosting', 'terminations', 'dismissals']",Information_Security_Policy.pdf
What happens to users who do not use the system for 60 days?,Users who do not use the system for 60 days will be automatically deactivated.,"['will', 'be', 'deactivated']",Information_Security_Policy.pdf
Who is responsible for interpreting confidentiality restrictions imposed by laws and statutes?,The State Agency Director whose agency collects and maintains the information is responsible for interpreting all confidentiality restrictions imposed by laws and statutes.,"['The', 'State', 'Agency', 'Director', 'laws', 'statutes']",Information_Security_Policy.pdf
What is the minimum requirement for password length and complexity?,Passwords must be a minimum of 8 characters long and contain at least one numeric character.,"['8', 'numeric']",Information_Security_Policy.pdf
How often do passwords expire?,Passwords will expire in a maximum of 90 days.,['90 days'],Information_Security_Policy.pdf
