question,answer,question_type,filename
"Who is responsible for communicating the details of the Policy and procedures to State employees, contractors, or other entities?","The Policy and procedures are distributed to all State agencies through their respective Security Representative who will then be responsible for communicating the details to State employees as well as contractors or other entities whose position responsibilities include the creation, maintenance, or access of State information residing on any computer system or platform.",simple,Information_Security_Policy.pdf
"What is the primary focus of the information security policies, procedures, guidelines, and best practices outlined in the document?","The primary focus of the information security policies, procedures, guidelines, and best practices outlined in the document is on the confidentiality and integrity of the information required for delivering information throughout the State.",simple,Information_Security_Policy.pdf
What are some controls that can be implemented to protect Web servers from unauthorized access or modification?,"Some controls that can be implemented to protect Web servers from unauthorized access or modification include installing or enabling only necessary services, limiting uploads to directories that are not readable by the Web server, defining a single directory for all external scripts or programs executed as part of Web content, disabling the use of hard or symbolic links, and defining a complete Web content access matrix.",simple,Information_Security_Policy.pdf
"What is the process for resolving system limitations that do not conform to the Policy, procedures, guidelines, and best practices indicated in the document?","A plan for resolution of these system limitations should be created, documented, and available on request.",simple,Information_Security_Policy.pdf
"Can personal messages and information stored on the agency's electronic mail system, voicemail system or computer systems be considered State property?","Yes, all messages sent and received, including personal messages, and all information stored on the agency's electronic mail system, voicemail system or computer systems are considered State property regardless of the content.",simple,Information_Security_Policy.pdf
"What must be collected and secured as appropriate for internal problem analysis and use as evidence in relation to potential breaches of contracts, policies, or regulatory requirements?",Audit trails and similar evidence.,simple,Information_Security_Policy.pdf
What should be documented in detail during emergency actions taken to recover from security breaches and correct system failures?,"All emergency actions taken, including the steps taken and the personnel involved.",simple,Information_Security_Policy.pdf
What must be confirmed with minimal delay during emergency actions taken to recover from security breaches and correct system failures?,The integrity of business systems and controls.,simple,Information_Security_Policy.pdf
"What is the purpose of the document titled ""Information Security Policies, Procedures, Guidelines""?","The purpose of the document is to provide the minimum Information Security Policy, as well as procedures, guidelines, and best practices for the protection of the information assets of the State of Oklahoma.",simple,Information_Security_Policy.pdf
"Who is responsible for developing, controlling, and communicating Information Security Policy, Procedures, and Guidelines for the State of Oklahoma?","OMES IS is responsible for developing, controlling, and communicating Information Security Policy, Procedures, and Guidelines for the State of Oklahoma.",simple,Information_Security_Policy.pdf
What should be produced and kept for an agreed period to assist in future investigations and access control monitoring?,Audit logs recording exceptions and other security-relevant events.,simple,Information_Security_Policy.pdf
Who is responsible for the confidentiality of information created or hosted by a State Agency?,"The State Agency responsible for producing, collecting, and maintaining the information is responsible for its confidentiality.",simple,Information_Security_Policy.pdf
What are the access requirements for employees or contractors who have access to information assets?,"Employees or contractors who have access to information assets must be briefed by the hiring or contracting agency on the access requirements of their position or contract, their responsibilities for safeguarding sensitive information and assets, all information security policies, procedures, guidelines and best practices, and a written document outlining the contents of the briefing and the date, which should be signed by the individual briefed acknowledging receipt of its contents.",simple,Information_Security_Policy.pdf
What should be included in audit logs recording exceptions and other security-relevant events?,"User IDs, dates and times for log-on and log-off, terminal identity or location if possible, records of successful and rejected system access attempts, and records of successful and rejected data and other resource access attempts.",simple,Information_Security_Policy.pdf
"Who is responsible for interpreting confidentiality restrictions imposed by information security policies, procedures, guidelines, laws, and statutes?","The State Agency Director, whose agency collects and maintains the information, is responsible for interpreting confidentiality restrictions.",simple,Information_Security_Policy.pdf
What is the responsibility of the hosting state agency's help desk function regarding password resets?,The hosting state agency's help desk function is responsible for confirming the identity of the requestor and resetting the password.,simple,Information_Security_Policy.pdf
"What is the purpose of the Oklahoma Statute, Title 62. Section 34.12(A)(3) referenced in the document?","The purpose of the Oklahoma Statute, Title 62. Section 34.12(A)(3) is to establish minimum mandatory standards for information security and internal controls as well as contingency planning and disaster recovery.",simple,Information_Security_Policy.pdf
"What are some examples of improper use of email technology that may jeopardize systems integrity, security, and service levels?","Improper use of email technology includes using it for commercial solicitation, distributing hoaxes, chain letters, advertisements, sending rude, obscene, threatening or harassing messages, distributing pornographic material or hate literature, harassing other staff members, sending executable programs or games, sending potentially offensive material, and propagating viruses knowingly or maliciously.",simple,Information_Security_Policy.pdf
What is the scope of the Policy and procedures outlined in the document?,"The Policy and procedures outlined in the document apply to all agencies and are inclusive of their hardware facilities, software installations, communication networks / facilities as well as information.",simple,Information_Security_Policy.pdf
What is the purpose of the Policy and procedures outlined in the document?,The purpose of the Policy and procedures outlined in the document is to establish minimum security levels required for creating and maintaining a secure environment for the storage and dissemination of information.,simple,Information_Security_Policy.pdf
What is the purpose of the Media Sanitization Procedures for the Destruction or Disposal of Electronic Storage Media?,The purpose of the Media Sanitization Procedures is to ensure that all electronic storage media containing State information are properly sanitized before disposal or destruction to prevent unauthorized access to sensitive information.,simple,Information_Security_Policy.pdf
What is the responsibility of the hosting State Agency regarding information availability?,"The hosting State Agency is responsible for ensuring information availability and granting access to information as needed to all State Agencies to support their required processes, functions, and timelines.",simple,Information_Security_Policy.pdf
Who is responsible for establishing minimum mandatory standards for information security and internal controls?,OMES IS has the responsibility to establish minimum mandatory standards for information security and internal controls as well as contingency planning and disaster recovery.,simple,Information_Security_Policy.pdf
