question,answer,question_type,filename
"What is the minimum size of a Telecommunications Room (TR) recommended for buildings with more than 10,000 sq ft or substantial IT electronics?","The minimum size of a TR for buildings with more than 10,000 sq ft or substantial IT electronics is not less than 120 square feet (11 square meters).",simple,Telecom_Infrastructure_Planning.pdf
What type of connectors are required for coaxial cabling in accordance with TIA-568-C.4?,F-type adapters and crimp-on connectors are required for coaxial cabling in accordance with TIA-568-C.4.,simple,Telecom_Infrastructure_Planning.pdf
"Can other types of connectors and adapters be used instead of those specified in TIA-568-C.0, TIA-568-C.3, and TIA-568-C.4?","Yes, other types of connectors and adapters can be used, but they must be approved by the Telecommunications Manager.",simple,Telecom_Infrastructure_Planning.pdf
What type of connectors are required for fiber optic cabling in accordance with TIA-568-C.3?,Unkeyed duplex LC connectors and adapters are required for fiber optic cabling in accordance with TIA-568-C.3.,simple,Telecom_Infrastructure_Planning.pdf
What is the recommended cable for drops from the TR (or headend) to the wall outlet in CATV systems?,The text recommends using RG-6 coaxial cables for drops from the TR (or headend) to the wall outlet in CATV systems.,simple,Telecom_Infrastructure_Planning.pdf
What type of connectors are required for copper systems in accordance with TIA-568-C.0?,Unkeyed Category 6 (CAT6) modular jacks are required for copper systems in accordance with TIA-568-C.0.,simple,Telecom_Infrastructure_Planning.pdf
What is the recommended cable management practice for fiber optic cables in in-slab or below-grade telecommunications conduit systems?,The recommended cable management practice for fiber optic cables in in-slab or below-grade telecommunications conduit systems is to comply with NFPA 70 and provide cables listed and rated for wet locations.,simple,Telecom_Infrastructure_Planning.pdf
What is the maximum length of flexible metal conduit allowed for floor-access boxes in a raised floor?,The maximum length of flexible metal conduit allowed for floor-access boxes in a raised floor is 20 feet (6 m) per TIA-569-C.,simple,Telecom_Infrastructure_Planning.pdf
"How many TRs are required for a multi-story building with a total floor area greater than 10,000 sq ft?","A minimum of one TR is required for each floor in a multi-story building with a total floor area greater than 10,000 sq ft.",simple,Telecom_Infrastructure_Planning.pdf
What is the maximum number of adapters or connectors that can be provided on individual patch panels and distribution panels?,"Individual patch panels and distribution panels should have 12 duplex LC, SC, or MT-RJ adapters or 24 ST adapters maximum.",simple,Telecom_Infrastructure_Planning.pdf
What is the minimum access headroom required above a cable tray system or cable runway?,The minimum access headroom required above a cable tray system or cable runway is 12 inches (300 mm).,simple,Telecom_Infrastructure_Planning.pdf
What is the minimum number of 4-inch conduits required for intra-building backbone distribution in a multistory building?,The minimum number of 4-inch conduits required for intra-building backbone distribution in a multistory building is three.,simple,Telecom_Infrastructure_Planning.pdf
What is the maximum length of copper data cables allowed for connecting patch panel termination to data outlet termination?,The maximum length of copper data cables allowed for connecting patch panel termination to data outlet termination is 295 feet (90 m) in accordance with TIA 568-C.1.,simple,Telecom_Infrastructure_Planning.pdf
What is the recommended method for terminating fiber optic cable in cabinet/rack-mounted patch panels and at the outlet?,The recommended method for terminating fiber optic cable in cabinet/rack-mounted patch panels and at the outlet is using LC type connectors in accordance with the appropriate TIA-604 series document.,simple,Telecom_Infrastructure_Planning.pdf
What type of fiber optic cable is recommended for use in new construction or rehabilitation projects?,The recommended type of fiber optic cable for use in new construction or rehabilitation projects is 50/125-um diameter laser optimized (OM3) multimode fiber optic cable.,simple,Telecom_Infrastructure_Planning.pdf
What is the maximum number of cables allowed in a 1-inch (27 mm) conduit?,"The maximum number of cables allowed in a 1-inch (27 mm) conduit is four, four-pair cables.",simple,Telecom_Infrastructure_Planning.pdf
What is the recommended method for terminating UTP cabling at the work area outlet and patch panel?,"The recommended method for terminating UTP cabling at the work area outlet and patch panel is using an 8-pin, RJ45 type modular jack rated for the category of the installed cable.",simple,Telecom_Infrastructure_Planning.pdf
