question,answer,tokens_present,document
What is the purpose of the Unified Facilities Criteria (UFC) system?,"The Unified Facilities Criteria (UFC) system provides planning, design, construction, sustainment, restoration, and modernization criteria for the Military Departments, the Defense Agencies, and the Department of Defense (DoD) Field Activities.","['provides', 'planning', 'design', 'construction', 'sustainment', 'restoration', 'modernization', 'criteria']",Telecom_Infrastructure_Planning.pdf
What is the scope of UFC 3-580-01?,UFC 3-580-01 provides requirements for designing and implementing interior telecommunications infrastructure for military construction.,"['UFC', '3-580-01', 'military', 'construction']",Telecom_Infrastructure_Planning.pdf
What is the difference between UFC 3-580-01 and UFC 3-580-10?,"UFC 3-580-01 supersedes UFC 3-580-10, which provides design and construction requirements for Navy and Marine Corps Intranet (NMCI) Standard Construction Practices.","['UFC', '3-580-01', 'supersedes', '3-580-10', 'NMCI']",Telecom_Infrastructure_Planning.pdf
"What is the significance of the date June 1, 2016, in relation to UFC 3-580-01?","The date June 1, 2016, indicates the date of the Change 1 update to UFC 3-580-01.","['June 1, 2016', 'UFC 3-580-01']",Telecom_Infrastructure_Planning.pdf
Who is responsible for the administration of the UFC system?,"Headquarters, U.S. Army Corps of Engineers (HQUSACE), Naval Facilities Engineering Command (NAVFAC), and Air Force Civil Engineer Center (AFCEC) are responsible for the administration of the UFC system.","['Headquarters', 'U.S. Army Corps of Engineers', 'Naval Facilities Engineering Command', 'Air Force Civil Engineer Center']",Telecom_Infrastructure_Planning.pdf
How are UFC documents periodically reviewed and updated?,"UFC documents are periodically reviewed and updated by the respective service proponent office, and changes are made available to users as part of the Services’ responsibility for providing technical criteria for military construction.","['UFC', 'documents', 'periodically', 'reviewed', 'updated']",Telecom_Infrastructure_Planning.pdf
What should be done to ensure that hard copies of UFC printed from electronic media are current?,Hard copies of UFC printed from electronic media should be checked against the current electronic version prior to use to ensure that they are current.,"['current', 'electronic', 'media', 'printed', 'checked', 'use']",Telecom_Infrastructure_Planning.pdf
Who is responsible for the technical content of UFC?,The cognizant DoD working group is responsible for the technical content of UFC.,"['The', 'cognizant', 'DoD', 'working', 'group', 'is', 'responsible', 'for', 'the', 'technical', 'content', 'of', 'UFC']",Telecom_Infrastructure_Planning.pdf
How can recommended changes to UFC be submitted?,"Recommended changes to UFC can be submitted using the Criteria Change Request form, which is accessible from the Internet sites listed in the UFC document.","['Recommended', 'changes', 'UFC', 'form', 'Internet', 'sites', 'document']",Telecom_Infrastructure_Planning.pdf
What is the purpose of the revision summary sheet included in UFC 3-580-01?,"The revision summary sheet provides a summary of the changes made to UFC 3-580-01, including the date of the change, the document being superseded, and a description of the change.","['provides', 'summary', 'changes', 'made', 'UFC', '3-580-01', 'date', 'change', 'document', 'superseded', 'description']",Telecom_Infrastructure_Planning.pdf
What is the purpose of the UFC document?,The purpose of the UFC document is to provide requirements for designing and implementing interior telecommunications infrastructure for military construction.,"['UFC', 'document', 'military', 'construction']",Telecom_Infrastructure_Planning.pdf
What are the types of telecommunications spaces?,"The types of telecommunications spaces include telecommunications rooms, telecommunications closets, and work areas.","['telecommunications rooms', 'telecommunications closets', 'work areas']",Telecom_Infrastructure_Planning.pdf
What are the two types of pathways in telecommunications infrastructure?,The two types of pathways in telecommunications infrastructure are backbone pathways and horizontal pathways.,"['backbone', 'horizontal']",Telecom_Infrastructure_Planning.pdf
