context,question,choices,answer,filename
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",What led to the growth of mobile and other wireless services?,"['The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services', 'Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, and led to the introduction of many new service providers', 'Development of international trade in telecommunications services, which are increasingly provided by transnational and global service providers', 'Increasing evidence that more liberalized telecommunications markets were growing and innovating faster and serving customers better']",1,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",Why is regulatory intervention necessary in the telecommunications industry?,"['To ensure that telecommunications services are supplied in a manner consistent with national perceptions of the public interest.', 'To attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services.', 'To ensure competitive markets do not fail to serve high cost areas or low-income subscribers.', 'To manage the sector and maintain a regulatory environment conducive to the efficient supply of telecommunications services to the public.']",2,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",What are the objectives of telecommunications regulation?,"['Ensuring that telecommunications services are supplied in a manner consistent with national perceptions of the public interest.', 'Maintaining a regulatory environment conducive to the efficient supply of telecommunications services to the public.', 'Promoting the growth and innovation of telecommunications markets by attracting private sector capital and introducing new services.', 'Ensuring that viable competition exists in telecommunications markets by authorizing or licensing new operators and overseeing interconnection.']",3,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",What is the role of regulators in the telecommunications industry?,"['To manage the telecommunications sector and oversee the day-to-day operations of service providers.', 'To create a regulatory environment that promotes competition and ensures the efficient supply of telecommunications services to the public.', 'To regulate telecommunications services in detail, including setting prices, determining service areas, and managing network infrastructure.', 'To ensure that telecommunications services are provided in a manner consistent with national perceptions of the public interest, while allowing private sector operators to manage the sector.']",3,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",What is the trend in telecommunications regulation today?,"['Deregulation', 'Privatization', 'Increased government intervention', 'More emphasis on public-private partnerships']",0,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",What are some of the regulatory objectives that are widely accepted around the world today?,"['Ensuring competitive markets do not fail to serve high-cost areas or low-income subscribers.', 'Maintaining a regulatory environment conducive to the efficient supply of telecommunications services to the public.', 'Authorizing or licensing new operators and overseeing interconnection of new entrants within incumbent operators.', 'Introducing new services and attracting private sector capital to expand and upgrade telecommunications networks.']",1,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",How many national telecommunications regulatory authorities were there in the world in the 1990s?,"['12', '90', '150', '250']",1,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",How many national telecommunications regulatory authorities are there in the world today?,"['12', '90', '150', '250']",1,Telecommunication_Regulations.pdf
"1 Regulatory Objectives 1.1.1 Why Regulate Telecommunications? The last decade of the 20th Century saw unprecedented changes in the global telecommuni-cations industry. Numerous state-ownedtelecommunications operators were privatized, and a wave of pro-competitive and deregulatory tele- communications policies swept the world. Newmarket-based approaches to the supply oftelecommunications services were introduced inscores of countries. This liberalization of telecommunications markets was motivated by various factors, including: ➢ Increasing evidence that more liberalized tele- communications markets were growing andinnovating faster and serving customers better ➢ The need to attract private sector capital to expand and upgrade telecommunications networks, and to introduce new services ➢ Growth of the Internet, which caused data traffic to overtake voice traffic in many countries, andled to the introduction of many new serviceproviders ➢ Growth of mobile and other wireless services, which provided alternatives to fixed networksand introduced new service providers to tele- communications markets ➢ Development of international trade in telecom- munications services, which are increasinglyprovided by transnational and global serviceproviders As market-based approaches were adopted during the 1990s, the number of national telecommunica-tions regulatory authorities increased from 12 to over90 around the world. To some this appears ironic.Shouldn’t the market-based supply of telecommuni-cations be accompanied by less regulatory intervention, rather than more? The consensus answer around the world is yes – in the long run, but no in the short run. The successfultransformation of monopolistic telecommunicationsmarkets into competitive ones requires regulatory intervention. Without it, viable competition is not likely to emerge. In fact, the times when privatizationand the introduction of significant competition occurcan be the busiest periods in the life cycle of aregulatory organization. Regulatory intervention is required for a variety of reasons. Typically, regulators must authorize or license new operators. They must often removebarriers to market entry by new operators. Theymust oversee interconnection of new entrants withincumbent operators. Regulatory intervention mayTelecommunications Regulation Handbook                                         1 - 2also be required to ensure competitive markets do not fail to serve high cost areas or low income subscribers. The objectives of telecommunications regulation vary from country to country. Governments in mostcountries continue to see telecommunications as anessential public service. Even after telecommunica- tions networks are no longer run by them, governments normally retain a regulatory role toensure that telecommunications services aresupplied in a manner consistent with nationalperceptions of the public interest. With the widespread adoption of market-based approaches to the supply of telecommunications services, there is a growing consensus that regula-tors should not be involved in detailed“management” of the sector. Instead, the regulators’role is seen to involve maintenance of a regulatory environment conducive to the efficient supply oftelecommunications services to the public. The service suppliers will generally be private sector operators. The trend today is toward deregulation. Some traditional forms of telecommunications regulationare now viewed as having been more damagingthan beneficial to the development of national tele- communications infrastructure and services. Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today",What is the consensus answer around the world regarding the relationship between market-based supply of telecommunications and regulatory intervention?,"['The market-based supply of telecommunications should be accompanied by more regulatory intervention.', 'The market-based supply of telecommunications should be accompanied by less regulatory intervention.', 'The market-based supply of telecommunications and regulatory intervention are unrelated.', 'The market-based supply of telecommunications should replace regulatory intervention.']",1,Telecommunication_Regulations.pdf
"Today, when regulatory measures are proposed orreviewed, governments and regulators mustgenerally ensure that (1) there is a demonstratedneed to regulate, and (2) the most efficient measureis selected to meet the specific regulatory objective. While regulatory measures vary from country to country, the main objectives of telecommunicationsregulation are often similar. Box 1-1 lists someregulatory objectives that are widely acceptedaround the world today. Box 1-1:  Widely Accepted Regulatory Objectives ➢ Promote universal access to basic telecommunications services ➢ Foster competitive markets to promote: ➢ efficient supply of telecommunications services ➢ good quality of service ➢ advanced services, and ➢ efficient prices ➢ Where competitive markets do not exist or fail, prevent abuses of market power such as excessive pricing and anti-competitive behaviour by dominant firms ➢ Create a favourable climate to promote investment to expand telecommunications networks ➢ Promote public confidence in telecommunications markets through transparent regulatory and licensing processes ➢ Protect consumer rights, including privacy rights ➢ Promote increased telecommunications connectivity for all users through efficient interconnection arrangements ➢ Optimize use of scarce resources, such as the radio spectrum, numbers and rights of wayModule 1 – Overview of Telecommunications Regulation                                         1 - 3Overview 1.1.2 Expansion of Telecommunications Regulation Government regulation of private sector telecommu- nications operators began in the US and Canada inthe late 19th Century. However, in most of the world,telecommunications networks were operated bygovernment administrations for most of the 20th Century. In most countries, governments ran tele- communications operations in the same way asgovernment postal, rail or highway transportationservices. This situation changed dramatically overthe past ten years, as dozens of countries privatizedtheir telecommunications operations. The number of telecommunications regulators has increased rapidly over the past few years. Severalfactors precipitated this growth in regulation. Themajor factor is the implementation of telecommuni-cations reforms that led to the separation of the policy, regulatory and operational functions of telecommunications. Regulatory agencies were established at the same time that many government telecommunicationsadministrations were privatized. The overall objective of these new regulators was to ensure that public policy objectives for the sector continued to bemet. While government monopolies are notperceived to require regulation, private monopoliesgenerally are. Introduction of competitors in manynewly privatized markets also increased the need for new regulators, to act as referees between the new entrants and incumbent operators. ITU data indicate that in 1990, 12 countries had telecommunications regulatory agencies thatfunctioned separately from telecommunicationsoperators. The term “separate regulators” generally refers to agencies that operate separately from government ministries or PTTs that are alsoresponsible for the provision of telecommunicationsservices. By August 1999, that number hadincreased to 84. Nine new regulators were estab- lished between mid-1998 and mid-1999. In late 2000, the number was around 96 and increasing.The growth in the establishment of separateregulators is illustrated graphically in Figure 1-1. Figure 1-1:  Growth in Number of Regulators Separate regulators, by region, 1999 Total: 84 Africa    24% Americas      26%Europe    31% Asia-Pacific   13% Arab States        6%Establishment of separate regulators 1230 5396 199022 1992 1994 1996 1999 200084 Source:  ITU (1999a) and (2000)Telecommunications Regulation Handbook                                         1 - 4While the growth of regulatory authorities is remark- able, it should be kept in perspective. In many cases, new regulators replace existing PTT orMinistry functions. Therefore, in some countries, theestablishment of separate regulators may not resultin an increase in the number of government officialswith regulatory functions. Also, while there is likely to be an increase in regulatory activity around the time of privatization and the introduction of competition,the level of regulatory intervention can be expectedto drop significantly once competitive markets areestablished.1.1",What are the two main objectives of telecommunications regulation?,"['Promote universal access to basic telecommunications services and foster competitive markets to promote efficient supply of telecommunications services.', 'Optimize use of scarce resources, such as the radio spectrum, numbers, and rights of way, and protect consumer rights, including privacy rights.', 'Promote increased telecommunications connectivity for all users through efficient interconnection arrangements and create a favourable climate to promote investment to expand telecommunications networks.', 'Prevent abuses of market power such as excessive pricing and anti-competitive behavior by dominant firms and promote public confidence in telecommunications markets through transparent regulatory and licensing processes.']",0,Telecommunication_Regulations.pdf
